C2_neg_control,0s,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,330s,360s,390s,420s,450s,480s,510s,540s,570s,600s,630s,660s,690s,720s,750s,780s,810s,840s,870s,900s,930s,960s,990s,1020s,1050s,1080s,1110s,1140s,1170s,1200s,1230s,1260s,1290s,1320s,1350s,1380s,1410s,1440s,1470s,1500s,1530s,1560s,1590s,1620s,1650s,1680s,1710s,1740s,1770s,1800s,1830s,1860s,1890s,1920s,1950s,1980s,2010s,2040s,2070s,2100s,2130s,2160s,2190s,2220s,2250s,2280s,2310s,2340s,2370s,2400s,2430s,2460s,2490s,2520s,2550s,2580s,2610s,2640s,2670s,2700s,2730s,2760s,2790s,2820s,2850s,2880s,2910s,2940s,2970s,3000s,3030s,3060s,3090s,3120s,3150s,3180s,3210s,3240s,3270s,3300s,3330s,3360s,3390s,3420s,3450s,3480s,3510s,3540s,3570s,3600s
700,-0.011804014,-0.011804014000000002,-0.011804014,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804014000000002,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974,-0.011804013999999974
699,-0.011598349,-0.01108547,-0.011524777,-0.010738103000000002,-0.011258039000000004,-0.011381849999999999,-0.010874737000000002,-0.010537524999999999,-0.010738046000000001,-0.010290349000000004,-0.009882489999999994,-0.010452490000000009,-0.008900032000000002,-0.009436511000000009,-0.009751534000000006,-0.009346713000000006,-0.008581922999999991,-0.008973699000000002,-0.008844830999999997,-0.008978911000000006,-0.009313843999999988,-0.008540825000000002,-0.008378076000000012,-0.008603341999999986,-0.008338449000000026,-0.008733512999999998,-0.008347989,-0.008832881000000015,-0.007675994000000019,-0.007807179999999969,-0.0073141760000000056,-0.007470765999999962,-0.007603089999999979,-0.007204770000000027,-0.00693482099999998,-0.0076610429999999785,-0.007000010999999973,-0.006931071000000011,-0.006898303999999966,-0.006520086999999952,-0.007107062999999969,-0.006966381999999993,-0.0071805019999999775,-0.0072425689999999765,-0.0070418469999999345,-0.007033930999999993,-0.0063211809999999535,-0.006202578000000014,-0.006743216999999968,-0.006533129999999998,-0.007051366999999975,-0.006605177000000018,-0.00687968299999997,-0.0056524629999999965,-0.00725219399999999,-0.00631408,-0.007591421999999959,-0.00639024699999996,-0.006949421999999983,-0.00706538000000001,-0.006155872999999978,-0.005145363000000014,-0.005916885999999955,-0.006694336999999939,-0.006377617999999974,-0.00660044999999998,-0.006868521999999988,-0.006528136999999934,-0.005408420999999941,-0.005367357999999989,-0.005820476999999935,-0.005369171999999978,-0.0067395969999999306,-0.00651391699999998,-0.005794942999999997,-0.005900399000000001,-0.006292832999999942,-0.005953462999999992,-0.006186435999999962,-0.005732806999999951,-0.006365527999999954,-0.005834086000000016,-0.006253201999999958,-0.005938153999999973,-0.005520111999999966,-0.005444565999999984,-0.0066940009999999495,-0.006853590999999937,-0.005775989999999953,-0.0058851959999999814,-0.005963284999999929,-0.005823131999999953,-0.005535709,-0.0058932389999999946,-0.006914816999999962,-0.006465787999999972,-0.006355983999999981,-0.005727268999999979,-0.005369722999999993,-0.00600112199999997,-0.006269829999999976,-0.005981120000000006,-0.00638310999999997,-0.00617968499999999,-0.006665738999999948,-0.006203257999999934,-0.006500259000000008,-0.006427149999999937,-0.006030749000000002,-0.006314569999999964,-0.006243934999999978,-0.00663237099999997,-0.006562044999999961,-0.005814439999999976,-0.006590688999999983,-0.0060589619999999456,-0.0054070259999999815,-0.006368162999999982,-0.006371301999999968,-0.006275552999999989,-0.005298128999999985
698,-0.011246311,-0.010702677,-0.010671222,-0.010170307000000003,-0.010040730000000005,-0.010118122,-0.009525339,-0.008958058000000005,-0.008691679999999993,-0.008834118000000002,-0.008165557000000004,-0.008060955000000009,-0.006778145999999999,-0.006922756000000002,-0.007048389999999988,-0.006839468000000015,-0.006084456999999988,-0.005581382999999995,-0.005655459000000002,-0.005814181000000002,-0.005817135000000001,-0.0050941500000000195,-0.004925316000000013,-0.004337194999999988,-0.00502533500000002,-0.004899085999999997,-0.0038426569999999993,-0.004283334999999999,-0.0029256469999999757,-0.0031748909999999575,-0.003037866,-0.003221540999999939,-0.0034041619999999884,-0.0027496779999999776,-0.002041355999999994,-0.002497569999999949,-0.0015419389999999367,-0.0016437519999999983,-0.002427345999999997,-0.0017429579999999611,-0.002382917999999956,-0.0017022729999999764,-0.0013273249999999903,-0.0015544619999999787,-0.001994201999999945,-0.0013378499999999738,-0.0009572349999999452,-0.0007806229999999803,-0.0011062379999999816,-0.0003333709999999712,-0.0013899929999999783,-0.0011452599999999813,-0.0002946839999999895,-0.0011550120000000108,-0.0017840999999999552,-0.00046386100000000985,-0.0009707719999999531,-2.218599999997961e-05,-0.0008421709999999472,-0.0009831719999999766,-0.0006388919999999465,0.0006531530000000174,0.0006186220000000131,-0.0007998769999999489,-0.0006456979999999723,-0.0006785109999999372,-0.000609703000000017,-0.0005037339999999779,0.0005088290000000439,0.0006266410000000389,0.0003725870000000353,0.00019074400000007596,-0.0005209439999999677,0.001036045000000041,0.0001687539999999932,0.0005648240000000193,0.0006653050000000604,0.00014728299999999805,-4.747999999998864e-06,0.0004222250000000538,0.00032642800000004524,0.00030361699999997827,0.0002680010000000177,0.0004902130000000171,0.0003269110000000408,0.0007715560000000621,3.311000000005837e-05,-0.00027834099999995976,-0.00015095099999995476,0.0005630229999999958,0.0011378880000000313,0.0009431330000000404,0.0010857800000000362,0.0008443430000000252,0.0003645940000000514,-0.0001347589999999843,0.0003022870000000122,0.0011621800000000126,0.0005144490000000279,0.00041414200000000623,0.0006179180000000506,0.0009653900000000104,-0.00016171399999997949,0.0004978190000000104,0.00041276600000006436,0.0002255920000000522,0.0002573570000000136,-0.0004544109999999879,0.0003749060000000082,5.8847000000028515e-05,0.00047282900000000794,-9.368500000001001e-05,0.00026920800000002076,0.0007592050000000405,8.143400000004686e-05,0.0002617830000000154,-0.00012862099999999543,0.0003044680000000022,0.0002405270000000459,0.0012926770000000198,0.0008292220000000183
697,-0.010944625,-0.010334857000000001,-0.010083316,-0.009085544000000004,-0.009499593,-0.009156143999999998,-0.008425935000000002,-0.007784416000000002,-0.0072243329999999994,-0.00653579,-0.0059662459999999945,-0.005598709000000007,-0.004701358000000003,-0.004624670999999997,-0.004489552000000008,-0.0030428339999999943,-0.0022027389999999814,-0.0027470019999999984,-0.0017256989999999972,-0.0020697590000000043,-0.0019557349999999862,-0.0013058890000000045,-0.0008888040000000208,-0.00022068399999999877,-0.00013711100000002308,-0.0007772789999999918,0.0002217129999999845,0.0003646929999999715,0.0010925399999999752,0.0015573130000000046,0.0005802770000000179,0.0012693520000000569,0.0016478610000000282,0.002107336999999987,0.00275065200000002,0.002584314000000032,0.0031089470000000285,0.0034335060000000306,0.0031002970000000296,0.0042823550000000155,0.0037531990000000404,0.003879763000000036,0.004700085999999992,0.005179848000000042,0.004583224000000052,0.004369339000000028,0.004925490000000032,0.005925867000000029,0.00522613700000002,0.00575452500000001,0.005579517000000034,0.005573561000000005,0.006040690000000015,0.007005562000000021,0.005149246000000052,0.005636825000000012,0.005547691000000021,0.006411299000000037,0.006225079000000022,0.006429306999999995,0.005831536000000026,0.007945796999999977,0.0069409510000000285,0.0059508720000000515,0.006662372999999999,0.006002898000000034,0.006456585000000015,0.006978754000000031,0.006741341000000067,0.008154689000000048,0.008104728000000061,0.006505446000000026,0.006408997000000027,0.006938537000000022,0.007874588999999987,0.007230893000000016,0.007429309000000051,0.006627934999999974,0.007733127000000006,0.007340501000000055,0.007899690000000015,0.007505254000000017,0.007763699000000068,0.007358981000000042,0.008355009000000024,0.007974884000000015,0.0071039120000000455,0.0077334610000000525,0.007375390000000037,0.008109529000000004,0.008382963000000077,0.00841936100000007,0.008758316000000044,0.008591267000000014,0.007448711000000052,0.007389698,0.007714107000000026,0.008197731000000041,0.008437322999999997,0.007348489000000014,0.007334840000000009,0.007722288999999993,0.0074027140000000324,0.007724918000000025,0.007266013000000016,0.00808815400000007,0.007831414000000037,0.007537800000000039,0.009106457000000012,0.006978919000000028,0.0075237890000000585,0.006403839999999994,0.007882303000000035,0.008021335000000018,0.00662359100000004,0.00727013700000001,0.006757911000000005,0.007227696000000006,0.00699568300000003,0.006339535000000007,0.009205707000000007
696,-0.010541681,-0.009971413,-0.009806945999999999,-0.008345689000000003,-0.008288642000000006,-0.007928955000000001,-0.006716628000000002,-0.005693750999999997,-0.005044107999999992,-0.004722803999999997,-0.0037019419999999997,-0.0034022290000000066,-0.0023259740000000084,-0.0019681960000000054,-0.0013299950000000005,-0.0004990820000000118,0.000955690000000009,0.0012241689999999972,0.0017927680000000001,0.001736887999999992,0.0015319470000000057,0.003190151000000002,0.002828444999999985,0.0030900320000000203,0.003451710999999996,0.003929838000000019,0.004245608000000012,0.005445753999999969,0.005974036000000016,0.006155359000000027,0.006165978999999988,0.006943907000000027,0.006276302000000011,0.0074573199999999895,0.008203412000000021,0.008093773000000026,0.009403122000000042,0.008388118,0.008931831000000001,0.009487472000000052,0.009365270000000037,0.010288905000000015,0.010263235000000037,0.010320921000000038,0.010104461000000065,0.011248722000000044,0.011710378000000021,0.011476739999999985,0.011136599999999997,0.01180853000000004,0.011213600000000046,0.011969096000000012,0.011682583999999996,0.01233931399999999,0.011165652000000026,0.013309579000000016,0.011718663000000018,0.01260240800000001,0.01290114600000003,0.013283480999999986,0.012159060000000055,0.013363185,0.013642629000000017,0.012416665000000049,0.013357752,0.01294962000000005,0.013086920999999974,0.013664005000000035,0.014541867000000042,0.014194079000000026,0.014235454000000036,0.014142316000000044,0.013644422000000045,0.013871354000000058,0.014484651000000015,0.01481157700000002,0.013919438000000062,0.014235720000000007,0.01536759400000004,0.014880299000000041,0.014302596000000056,0.015315577999999996,0.013988830000000063,0.014819277999999991,0.015313940000000026,0.015393899000000044,0.013918082000000054,0.015164268000000036,0.01426183200000003,0.014633037000000015,0.01612146600000003,0.015806330000000035,0.01602439,0.014888966000000003,0.01436344500000003,0.014509453000000005,0.014971216999999981,0.014848231000000045,0.014884417000000039,0.01502863900000001,0.014333017000000003,0.015328885000000014,0.014406534999999998,0.014734353000000033,0.014791103000000028,0.014213605000000074,0.014702392000000009,0.013953590000000016,0.014869128999999981,0.014181540000000048,0.014982358000000029,0.01410711600000003,0.014077169,0.014297912000000024,0.01410710300000001,0.014373384000000045,0.014117786000000021,0.014754645999999982,0.015172932000000028,0.01360184200000003,0.015210667999999983
695,-0.010491956,-0.009420395000000002,-0.00865,-0.007293134000000003,-0.006811204000000001,-0.006916881,-0.005118732000000001,-0.004239370000000006,-0.0034969470000000002,-0.0029530769999999984,-0.0016245740000000036,-0.0007970450000000101,0.0010254619999999909,0.0009756089999999884,0.0021037459999999897,0.0026263589999999948,0.004187478999999994,0.004653539999999984,0.005230611000000024,0.005013537999999984,0.005285658999999998,0.006142588000000004,0.007060364999999985,0.007565721999999997,0.007878224999999989,0.008559204000000015,0.009390718999999992,0.009823923999999984,0.010161211999999975,0.01134010000000002,0.011594239999999978,0.01208855200000003,0.012385489000000027,0.013297371000000002,0.013851637000000028,0.01317826400000005,0.014062242000000058,0.01489485800000001,0.014781623999999993,0.015814079000000036,0.015304191000000023,0.015251907000000009,0.016606706000000027,0.01681510700000005,0.016285328000000043,0.017896278000000043,0.01824513800000005,0.018087165000000016,0.01794174100000001,0.017788351000000036,0.017654537000000026,0.018267538000000028,0.01917260500000001,0.018915451000000028,0.018228612000000033,0.01856623900000004,0.018428308000000004,0.01903062400000005,0.018921046000000052,0.019435446999999995,0.018848021000000048,0.02032535000000002,0.020315284000000045,0.02075886900000007,0.019483324999999996,0.01996846200000002,0.020646186999999983,0.02053583300000006,0.02083594900000002,0.022117283000000043,0.02195803700000004,0.02089555200000004,0.020082875000000056,0.02051778200000004,0.021425468000000003,0.021388567000000025,0.02125485900000007,0.021520786000000014,0.021872131000000017,0.02135592800000008,0.02174869300000004,0.02150885400000002,0.022425534000000025,0.022335046999999997,0.022122663000000042,0.022404368000000008,0.02128612000000002,0.021336044000000054,0.021809453000000034,0.022006090000000034,0.022289097000000035,0.022817436000000024,0.022318916999999994,0.023052459000000025,0.02194557200000008,0.02155363800000004,0.02311761699999998,0.022406501000000023,0.02223887899999999,0.022522091000000022,0.021912734000000045,0.022546889000000014,0.022188503000000026,0.021706032000000042,0.022021642000000063,0.021815373000000027,0.021991260000000012,0.022166954000000016,0.021831951000000016,0.021630123000000057,0.02239969900000005,0.021302146000000022,0.02131681200000002,0.021886868000000004,0.020577292000000025,0.02169193500000005,0.020733161,0.02148338900000002,0.02163092600000005,0.020979844000000025,0.02236144699999998
694,-0.009904379,-0.008944889000000001,-0.008151624,-0.006663810000000003,-0.005984289000000004,-0.005460762000000001,-0.0036779080000000006,-0.0027855430000000014,-0.0014137779999999905,-0.00029911900000000047,0.0012001320000000065,0.001641161000000002,0.002709301000000011,0.0041211150000000085,0.004488920000000007,0.005852980999999979,0.00790432200000002,0.007730580999999986,0.008734048000000022,0.008772905999999997,0.009800601999999992,0.010679250000000001,0.011279433999999977,0.011956208000000024,0.012466007999999973,0.012767451000000013,0.013983489000000016,0.01363107400000002,0.015524839000000012,0.015975761000000033,0.01622568299999999,0.016438557000000076,0.01719374300000004,0.017597055000000028,0.018857765999999998,0.018835738000000046,0.01988909900000002,0.02039624699999998,0.020933177999999997,0.021179616000000012,0.021619127000000016,0.02186350800000003,0.02289826500000003,0.022703481000000025,0.023320591000000057,0.02309497300000002,0.024511398000000018,0.02489498499999998,0.024170261000000026,0.024361606000000036,0.024274550000000006,0.02480676100000001,0.025481220000000027,0.02544780200000002,0.024569805000000056,0.024676124999999993,0.02548715300000004,0.026399681000000008,0.025820754,0.025510419000000006,0.025967868000000005,0.027484096000000013,0.027190050999999993,0.02678869000000006,0.026128984000000022,0.026952511000000068,0.027152964,0.02671120700000007,0.027972045000000056,0.02893321200000004,0.028401019000000027,0.028226517000000062,0.027114089000000063,0.02801108000000002,0.02894733500000002,0.028946121000000047,0.027880787000000018,0.029032728000000008,0.029770357999999997,0.028526946000000053,0.028198098000000005,0.02968220100000002,0.02908796300000005,0.028528244000000036,0.029184436000000036,0.029799865000000036,0.02870434700000002,0.029263653000000056,0.02891069700000004,0.030008687000000034,0.030346511000000076,0.02986742100000006,0.029195532000000024,0.029228217,0.02951132700000003,0.02892379300000003,0.02955404300000003,0.029456543,0.02966209200000003,0.02938274000000002,0.028863897000000027,0.030546253999999995,0.02986484100000003,0.02983747600000003,0.029495487000000042,0.028708163000000064,0.028867104000000032,0.028966104000000048,0.028922298999999985,0.02854300400000004,0.02924104900000002,0.02839419900000001,0.028696376000000023,0.029859315000000053,0.02925841200000001,0.02851078300000004,0.028019936000000023,0.028779255000000004,0.028299325000000042,0.028524147,0.02942954600000003
693,-0.009664396,-0.008986141000000001,-0.007468533999999999,-0.006371231000000005,-0.004439897000000005,-0.0035670340000000036,-0.002489333999999996,-0.0009165839999999981,0.00020044900000000532,0.0015697209999999961,0.003051522000000001,0.003613268000000003,0.005718345,0.006642625999999985,0.007217095000000007,0.008912486999999997,0.011483082000000006,0.012044890000000003,0.012019846,0.012396014999999982,0.013213547999999992,0.014980404000000003,0.015011393999999983,0.01624761600000002,0.01677973799999999,0.018009921999999984,0.01877951299999997,0.019283188000000007,0.020576664000000022,0.021206119000000023,0.021863140999999975,0.02228119600000006,0.02275697600000004,0.023312219999999995,0.024719182000000006,0.024754224000000047,0.025853120000000063,0.025920987000000006,0.026366796000000026,0.02673800500000001,0.027657543000000062,0.028655331000000006,0.028764300999999992,0.029519143000000025,0.030032919000000047,0.03048837200000004,0.030911480000000047,0.031031641,0.030983123,0.03162741400000002,0.03093733500000001,0.032057997999999976,0.031155084,0.03267651300000002,0.03133197700000001,0.03238463600000002,0.03210878500000003,0.032918426000000056,0.032800618000000004,0.03333954300000003,0.03280601700000002,0.035304628000000005,0.03451468900000004,0.03393220200000002,0.034573332999999984,0.03421570500000004,0.033871810999999974,0.034394424000000035,0.035379605000000036,0.037521269999999995,0.03560046700000008,0.03585483200000006,0.03479730400000003,0.03531840700000005,0.036297737,0.03590605200000002,0.035417452000000016,0.03652398299999998,0.03599616700000002,0.03706904000000005,0.03611851500000002,0.036867925000000024,0.03618087200000003,0.03636663300000004,0.037775959000000026,0.03694427800000005,0.03597275000000005,0.03638077600000006,0.03634451900000002,0.03680739500000002,0.03763306400000005,0.037305944000000035,0.037406647000000015,0.03739589400000004,0.03677882500000007,0.035974171,0.037288953000000014,0.03711377600000004,0.03821865600000002,0.03749831300000006,0.03731382400000005,0.03738525600000003,0.03743786399999999,0.03702572200000004,0.036579408000000035,0.03646607000000007,0.03692615600000004,0.03609873200000002,0.036767508000000004,0.03616361500000004,0.03667846500000005,0.03575656700000002,0.03592147300000004,0.03652925500000004,0.03636293600000001,0.03591979700000003,0.035069899000000015,0.035917319,0.036047859000000015,0.034954912000000005,0.03648848900000001
692,-0.009865918,-0.007718001,-0.00687598,-0.004715743000000005,-0.003577762000000005,-0.002707435000000001,-0.0009362620000000002,0.0006058020000000025,0.002570135000000001,0.0038679189999999974,0.005567618999999996,0.006542487999999999,0.00879078500000001,0.009584658999999995,0.010550245000000014,0.013055154999999985,0.015339541000000012,0.015542870999999986,0.0165391,0.016667111999999984,0.017480533999999992,0.018624846,0.020526478999999986,0.020541688000000002,0.021701157999999998,0.022176575000000004,0.024091974999999988,0.02423758399999998,0.025964003000000013,0.02685870400000001,0.027233306000000013,0.027706029000000076,0.02815525000000002,0.028962816999999974,0.03078276299999999,0.03032517600000001,0.03239321000000006,0.03230833100000002,0.033329233999999985,0.03399425000000006,0.033816626000000016,0.03483583200000001,0.03592005300000001,0.03582719000000001,0.03635369000000005,0.036548862000000015,0.03729165100000004,0.03803894800000002,0.038421596,0.03785032999999999,0.038517597000000015,0.03897810400000001,0.03860232200000002,0.03943171099999998,0.039164533,0.03839479500000004,0.03992179400000001,0.040922245000000024,0.039692585,0.040909693000000025,0.04100893700000002,0.040825064999999994,0.041256822000000026,0.04170450400000003,0.04079405800000002,0.040649647000000066,0.04202531999999998,0.04188811800000003,0.04344339300000005,0.044153094000000004,0.043694323000000035,0.04365211100000005,0.04183700500000004,0.042902627000000026,0.044053654,0.044099111999999996,0.04380109200000004,0.04417296599999998,0.04448750600000001,0.043700361000000076,0.043405057000000025,0.04375763399999999,0.04508468400000004,0.044028084999999995,0.044991910999999996,0.04404288000000006,0.04384332000000002,0.04418582100000007,0.04373875700000002,0.04468945200000002,0.04549292500000007,0.04488418599999999,0.045451403,0.04537496499999999,0.04444070100000008,0.044761832,0.04482404199999995,0.044472394000000026,0.046024836999999985,0.04478015900000004,0.04518618400000002,0.045117933,0.044615985999999996,0.04547277599999999,0.044664161000000036,0.043925070000000066,0.04433830999999999,0.04301792700000001,0.04489663799999999,0.04306722200000007,0.04429085000000005,0.043435727000000035,0.04360463800000003,0.04484330300000006,0.04334853400000005,0.04367343500000004,0.043506252999999995,0.044269522000000006,0.043196097000000044,0.043630486000000024,0.04455867699999999
691,-0.009286462,-0.007369023000000001,-0.006338633,-0.0037910360000000046,-0.002285967,-0.0012657540000000009,0.0008547819999999984,0.002305429999999997,0.004549387000000002,0.006061589999999992,0.007946118000000002,0.009548589999999996,0.011020607000000002,0.012249334,0.013824059999999999,0.01577405899999998,0.019089354000000003,0.01929747200000001,0.02013996300000001,0.020068061999999998,0.021481116999999994,0.023018175000000002,0.024711068999999974,0.025143046000000002,0.027051669999999972,0.027304922000000037,0.028335777999999978,0.028923285999999993,0.030432850999999983,0.03152946200000001,0.03258386600000002,0.03364963300000007,0.033639556000000015,0.035230452999999995,0.03663131000000003,0.03649574800000005,0.03747869500000006,0.03913385600000002,0.039733498000000034,0.03961510800000001,0.040167352000000045,0.041081018000000025,0.04213859200000003,0.04195519400000003,0.04259039600000003,0.043204025000000035,0.04344090600000006,0.04471720499999998,0.045334207000000015,0.04461810599999999,0.04452825300000002,0.046162596,0.04631845099999998,0.04651371100000001,0.04578721100000005,0.04519894200000002,0.045662848000000034,0.04714659600000004,0.046986079000000014,0.04783670600000001,0.04659550400000001,0.04839711000000002,0.048909395999999994,0.04803539000000007,0.04795068899999999,0.04850363000000002,0.04887886400000002,0.04926530000000007,0.051181309000000064,0.05094756,0.05102382600000005,0.05045308900000006,0.049427670000000035,0.05071257400000001,0.050943353000000025,0.05047525800000002,0.05057869900000006,0.05134172399999998,0.051812897999999996,0.051496007000000066,0.05201619200000007,0.05214772599999995,0.05222062200000005,0.05220693399999998,0.05297908600000001,0.05219648100000002,0.051577706000000056,0.051393009000000045,0.05255379500000007,0.05269335900000005,0.05259190500000005,0.05273570400000005,0.05258358600000007,0.05367134000000001,0.052133369000000096,0.051607809000000004,0.052735628000000034,0.05219286200000006,0.052008918000000015,0.05255011500000001,0.052644695000000075,0.052419289000000036,0.052413019000000005,0.05226086100000005,0.05217343299999999,0.051907921999999995,0.05193272700000007,0.05176207200000005,0.05231527199999997,0.051625783000000036,0.05118189400000006,0.05053344700000001,0.05083912100000004,0.05148017000000005,0.05174808000000003,0.05172034300000006,0.05066675700000001,0.05123541300000001,0.05146479200000004,0.05001463100000003,0.05183869299999999
