C2_neg_control,0s,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,330s,360s,390s,420s,450s,480s,510s,540s,570s,600s,630s,660s,690s,720s,750s,780s,810s,840s,870s,900s,930s,960s,990s,1020s,1050s,1080s,1110s,1140s,1170s,1200s,1230s,1260s,1290s,1320s,1350s,1380s,1410s,1440s,1470s,1500s,1530s,1560s,1590s,1620s,1650s,1680s,1710s,1740s,1770s,1800s,1830s,1860s,1890s,1920s,1950s,1980s,2010s,2040s,2070s,2100s,2130s,2160s,2190s,2220s,2250s,2280s,2310s,2340s,2370s,2400s,2430s,2460s,2490s,2520s,2550s,2580s,2610s,2640s,2670s,2700s,2730s,2760s,2790s,2820s,2850s,2880s,2910s,2940s,2970s,3000s,3030s,3060s,3090s,3120s,3150s,3180s,3210s,3240s,3270s,3300s,3330s,3360s,3390s,3420s,3450s,3480s,3510s,3540s,3570s,3600s
700,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.04846765400000001,-0.048467654,-0.048467653999999985,-0.04846765400000001,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.048467654,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765400000003,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765400000003,-0.04846765399999997,-0.04846765399999997,-0.04846765399999997,-0.04846765399999997,-0.04846765399999997,-0.04846765400000003,-0.04846765400000003
699,-0.047957121,-0.047865183,-0.047540495999999995,-0.047450142,-0.047431511999999995,-0.04758117,-0.047754111999999994,-0.047462512,-0.047145917999999995,-0.04738134499999999,-0.046899843,-0.046970473,-0.046091656999999994,-0.046195757000000004,-0.046202192,-0.046331768999999995,-0.04599994900000001,-0.045633256999999997,-0.04550644699999998,-0.04526742700000001,-0.04569409099999999,-0.045278950999999984,-0.04510613600000002,-0.045457466,-0.04513178599999998,-0.045395993999999995,-0.04504067099999998,-0.044438174,-0.044356699,-0.044019854,-0.044901072000000014,-0.04465196099999999,-0.04421863300000001,-0.04409156,-0.044169036999999994,-0.04382513499999999,-0.043218573999999954,-0.04369744600000003,-0.04360987099999997,-0.043744701,-0.043750725000000046,-0.04369492900000005,-0.04372891200000001,-0.04346071700000004,-0.043220520999999956,-0.04294844100000006,-0.04358284100000004,-0.04361244900000005,-0.043222558999999994,-0.04392211600000007,-0.04335012899999996,-0.04324480500000005,-0.04324254500000002,-0.04266348600000003,-0.04327122899999997,-0.04384941300000006,-0.04353612100000004,-0.04327785099999998,-0.04384378499999997,-0.042547515000000036,-0.04333879899999993,-0.04293227200000005,-0.04332926499999995,-0.04317863600000005,-0.04269663499999998,-0.04330689700000001,-0.04357130399999998,-0.04327020199999998,-0.04298413400000006,-0.04305327000000003,-0.04257752399999992,-0.042726229000000004,-0.04242024800000005,-0.04223190400000004,-0.04298458100000002,-0.04242195599999998,-0.04267352699999999,-0.04306411299999996,-0.04338987600000005,-0.043270851,-0.04269680399999998,-0.04288966799999999,-0.043244751000000026,-0.043269584999999944,-0.04225679299999996,-0.04285798000000002,-0.042418836000000015,-0.04285610299999998,-0.04301002899999995,-0.042522141999999985,-0.04300788200000005,-0.04302144600000002,-0.042779559999999994,-0.04352876499999997,-0.043505567999999994,-0.042762443999999955,-0.042667642000000006,-0.04355094799999998,-0.04221427199999994,-0.04345628700000004,-0.04336783700000002,-0.04286319399999999,-0.043627448999999985,-0.04249734200000005,-0.04369980799999995,-0.04296066900000006,-0.04284108999999997,-0.04348718200000001,-0.04316425399999996,-0.042937201000000036,-0.04223071199999995,-0.042214109000000055,-0.04320775199999999,-0.04331443500000004,-0.04341782799999999,-0.04268762399999998,-0.04279375399999996,-0.04321383599999995,-0.04231119,-0.043467610000000045,-0.04315836900000003
698,-0.047887205,-0.047756549,-0.047069825999999995,-0.04736347,-0.046517084,-0.046761522,-0.046522772999999996,-0.046314444999999996,-0.045887344999999996,-0.045665102,-0.045120697,-0.044985063,-0.044222283,-0.043852366000000004,-0.043932869,-0.043928095,-0.043533365000000004,-0.04308928399999999,-0.04267744899999998,-0.043101733,-0.04259410599999999,-0.042394506,-0.04188593700000001,-0.042102579,-0.04192584499999999,-0.04153204399999999,-0.040890335,-0.040746120999999996,-0.040185252000000005,-0.04033171899999999,-0.04065828200000002,-0.040337447,-0.039890228,-0.039866186,-0.039625252,-0.039354846,-0.03896846699999995,-0.03881371100000003,-0.039269804999999935,-0.038868526999999986,-0.038982052000000045,-0.038781065,-0.03871580200000002,-0.038396666999999995,-0.03856063699999995,-0.03874258900000005,-0.038293179000000066,-0.03842989500000005,-0.037430889999999994,-0.03843663500000005,-0.03821759299999994,-0.038479225000000006,-0.038094932000000026,-0.03805860999999999,-0.03812393599999997,-0.03797455400000005,-0.03827785000000006,-0.03805705100000001,-0.038014599999999954,-0.036825284000000014,-0.03740974499999994,-0.037340662000000024,-0.037266090999999946,-0.03794956000000005,-0.03752222399999999,-0.03711294700000001,-0.03738118699999998,-0.037238726,-0.03671383300000003,-0.03789051800000004,-0.03759767499999994,-0.03703274499999998,-0.03623542000000002,-0.036122438000000034,-0.03686404300000007,-0.03647677399999999,-0.03672600899999995,-0.036994996999999974,-0.03750304700000007,-0.036791552000000005,-0.036774738999999945,-0.03704686199999996,-0.03732244300000004,-0.03691543399999997,-0.036641144999999986,-0.037004855,-0.036237575999999994,-0.036390056999999976,-0.037002144999999986,-0.03680842099999998,-0.03672442900000006,-0.03677004400000006,-0.03690323999999995,-0.036925262999999986,-0.036728645999999976,-0.03701974999999996,-0.03666730900000004,-0.03711153899999997,-0.03609388999999996,-0.037317855000000066,-0.03676120900000002,-0.03762266699999994,-0.037616950999999954,-0.036682696000000015,-0.03732820999999997,-0.03611287900000004,-0.03669565899999999,-0.03714554000000003,-0.03686099599999998,-0.03687845800000006,-0.03672606199999995,-0.03612157100000002,-0.036872406999999996,-0.03716476400000007,-0.037156664000000006,-0.03653331999999998,-0.037249272,-0.037613221999999946,-0.03667038899999997,-0.037317700000000065,-0.037389159000000005
697,-0.047793998,-0.047940742,-0.047113876,-0.046772039,-0.046186323,-0.045994648,-0.045629238999999995,-0.045336803999999994,-0.044971108999999995,-0.044147908,-0.043665549,-0.043203729,-0.042394658,-0.04189000400000001,-0.041862580999999996,-0.041306683999999996,-0.040601788000000014,-0.040111041,-0.03947764299999998,-0.03974266200000001,-0.03970538100000001,-0.039074891,-0.03831699600000002,-0.038473063,-0.03813138199999999,-0.03792235599999999,-0.03755437499999997,-0.036563447,-0.036678410999999994,-0.035934400000000005,-0.03677228100000002,-0.036205898999999986,-0.035241681,-0.03516404100000001,-0.034749905000000025,-0.03426195799999998,-0.03409483099999994,-0.033567996000000044,-0.03365426899999996,-0.03372046200000001,-0.03367200600000003,-0.03376731500000002,-0.033577670000000004,-0.033109643999999994,-0.03308933299999994,-0.03230670600000002,-0.03316459100000002,-0.03218992900000006,-0.032667696000000024,-0.03273957600000005,-0.03213656399999992,-0.03226365500000006,-0.032021836000000026,-0.03179687600000003,-0.032111632,-0.03175794900000006,-0.03177224400000006,-0.03215643600000001,-0.03216189699999994,-0.030901287000000055,-0.031250739999999944,-0.03158940900000001,-0.03118296499999995,-0.03148735100000005,-0.030796076999999977,-0.03066327499999999,-0.031610974999999986,-0.031705961999999976,-0.030818854000000062,-0.03065711600000004,-0.030224933999999926,-0.030772336999999983,-0.029801997000000024,-0.030847119000000034,-0.030396840000000036,-0.030491852999999958,-0.031040374999999953,-0.030996904999999964,-0.031015873000000027,-0.029938787999999994,-0.030211275999999954,-0.03036040099999998,-0.030787947000000038,-0.03028060799999993,-0.030092388999999997,-0.03018684100000002,-0.030172354999999984,-0.030098537999999952,-0.031226662999999988,-0.030771790999999993,-0.03027077100000003,-0.030443160000000025,-0.03028227499999997,-0.030399981999999992,-0.030418675999999978,-0.03038264199999996,-0.030189481000000018,-0.030541863000000002,-0.029793847999999956,-0.03078973300000004,-0.031157411000000024,-0.03149897099999999,-0.030972439999999934,-0.03026235100000002,-0.030582455999999925,-0.030213596000000065,-0.03039018499999996,-0.03097454300000002,-0.030730688999999978,-0.030656843000000045,-0.030102484999999957,-0.03022492900000001,-0.031059288000000018,-0.030613494000000074,-0.031225451000000015,-0.03017429799999999,-0.031080573999999972,-0.030466077999999952,-0.030241626999999993,-0.03134002600000002,-0.030298947999999992
696,-0.04788855,-0.047537044,-0.046860442999999995,-0.046580786,-0.045679989000000004,-0.045414439,-0.044424815,-0.044152615,-0.043295800999999995,-0.04301833499999999,-0.041886818,-0.041680525,-0.04055885599999999,-0.039762671,-0.039364214999999994,-0.039115441,-0.038307056000000006,-0.037667117,-0.03639717199999998,-0.036647909000000006,-0.03667891000000001,-0.035547415,-0.03553484800000001,-0.035034387,-0.03470995099999999,-0.03371532299999999,-0.033720749999999994,-0.032986245,-0.032279583,-0.03155081399999998,-0.032445291000000015,-0.031924851000000004,-0.031535639000000004,-0.030576287000000008,-0.030564658999999994,-0.029587242000000014,-0.029006333999999967,-0.029607426000000048,-0.02903035699999995,-0.029033109999999973,-0.028868536000000056,-0.02781282500000004,-0.027832411,-0.028066645,-0.027923941999999924,-0.027650419000000037,-0.027067385000000055,-0.027458061000000034,-0.026486977999999994,-0.026906867000000056,-0.026765206999999958,-0.026204300000000014,-0.026695986999999977,-0.025762649000000026,-0.026053329000000014,-0.02630472000000006,-0.02599269200000004,-0.02559183399999998,-0.026488105999999956,-0.024757573000000033,-0.02558100799999996,-0.025737858000000002,-0.025057480999999993,-0.02605886600000007,-0.024435708999999972,-0.025059425999999996,-0.02582805199999999,-0.025207294999999963,-0.02495268200000006,-0.024872273000000056,-0.02435407199999995,-0.023937494000000004,-0.02431178200000006,-0.02427074100000004,-0.024565763000000074,-0.025002376999999965,-0.023992704999999948,-0.025465447999999946,-0.025200621000000034,-0.023862125000000012,-0.02460988699999994,-0.024170354999999977,-0.024759589000000026,-0.023914402999999973,-0.023788894999999977,-0.02408347200000005,-0.02387144899999999,-0.02383056499999997,-0.023994446999999974,-0.024188145999999966,-0.02413722500000004,-0.024728424000000027,-0.02411879699999997,-0.024247856999999984,-0.02448891200000003,-0.024096535999999946,-0.02419349300000001,-0.024265760999999997,-0.02441128499999995,-0.02408876400000004,-0.02500998700000001,-0.02455787899999995,-0.025226098999999946,-0.023914954000000044,-0.025066152999999924,-0.02334315500000006,-0.024240150999999988,-0.024230285000000018,-0.02458758099999997,-0.024371292000000044,-0.02495074899999994,-0.02406378300000006,-0.024331578999999992,-0.02543408300000005,-0.024773981,-0.02430479999999996,-0.02427267999999999,-0.024358982999999945,-0.02409059899999999,-0.024324130000000055,-0.024504353000000034
695,-0.047621581,-0.047643344,-0.046249334999999996,-0.045780016,-0.044924571999999996,-0.044594616999999996,-0.043303701,-0.04320088,-0.042223611999999994,-0.041556775,-0.040457187,-0.039466166000000004,-0.038525649999999995,-0.03752933700000001,-0.036792706999999994,-0.036154244,-0.03548382100000001,-0.034648334,-0.034441359999999976,-0.03352070900000001,-0.033513086,-0.03213126699999999,-0.031928498,-0.03124787100000001,-0.031076752999999985,-0.02957549000000001,-0.029066026999999994,-0.028466146999999997,-0.02883534800000001,-0.027868619999999983,-0.028018752000000008,-0.027556584999999995,-0.025954124999999995,-0.025978292000000014,-0.025632235000000003,-0.024415315999999965,-0.024556445999999954,-0.024009512000000066,-0.024001216999999964,-0.02327594700000002,-0.022761851000000055,-0.02324947700000002,-0.022338389000000014,-0.022580954000000042,-0.02195785999999994,-0.02233740800000006,-0.021282075000000067,-0.021460510000000044,-0.020633424999999983,-0.020944401000000057,-0.02102893799999994,-0.02089797800000004,-0.020483189000000013,-0.019566086000000038,-0.019500185000000003,-0.020257875000000036,-0.020292926000000044,-0.020110713000000002,-0.01985543499999992,-0.019466235000000054,-0.01958879099999994,-0.019297755000000028,-0.018487352999999984,-0.019448241000000033,-0.01851931899999998,-0.01866870799999998,-0.018354234000000025,-0.018973004999999987,-0.01836276500000006,-0.018256065000000044,-0.01808962799999997,-0.017661817999999996,-0.01715090500000005,-0.018952736000000026,-0.018051358000000073,-0.017705855999999964,-0.018177856999999964,-0.018314236999999955,-0.018493671000000045,-0.01781397200000001,-0.018259352999999978,-0.01821977899999999,-0.017663947000000013,-0.017382318999999924,-0.01740187999999998,-0.017689944000000013,-0.01634732299999997,-0.01763119399999996,-0.01844036099999996,-0.017904472000000005,-0.018248998000000072,-0.018026215000000012,-0.01798978299999998,-0.01798968099999998,-0.018083787000000018,-0.017544448999999962,-0.017620356000000004,-0.018214340999999967,-0.01766062299999993,-0.01838621300000004,-0.018472416000000047,-0.018171336999999954,-0.017969814999999945,-0.017398628000000027,-0.018599166999999972,-0.017322603000000047,-0.017636296999999967,-0.017576808000000055,-0.018048483999999976,-0.01789448800000004,-0.01708647599999996,-0.017600753000000025,-0.018514464000000008,-0.017851797000000058,-0.018298011999999975,-0.018337981999999975,-0.018770238999999966,-0.018006660999999924,-0.01757397999999999,-0.017820762000000046,-0.01795223500000004
694,-0.047664448,-0.047596452,-0.046881644,-0.045326699,-0.044335821,-0.043979422,-0.042707697999999995,-0.04205493,-0.040809149999999995,-0.039995787,-0.038376331,-0.038236924,-0.03663158,-0.035340436,-0.034195848,-0.033885689999999996,-0.03300892100000001,-0.031860614999999995,-0.031139205999999975,-0.030521115000000015,-0.029775068000000016,-0.02864224400000001,-0.027768880000000024,-0.027720083000000006,-0.027267288,-0.02659067300000001,-0.02548589899999998,-0.025026556999999977,-0.023845444999999993,-0.023335925000000007,-0.02384630600000001,-0.023137678999999994,-0.02177072599999999,-0.021744540000000034,-0.020462703999999998,-0.019894148,-0.019203008999999938,-0.019147952000000024,-0.018323869999999964,-0.01835365499999997,-0.01746843600000003,-0.017235964000000048,-0.016297562000000043,-0.01677315500000004,-0.016234258999999973,-0.01601295700000005,-0.016106160000000036,-0.015256145000000054,-0.014756686000000019,-0.01477013100000002,-0.01511546299999994,-0.01442767300000003,-0.014741901000000002,-0.013784948000000019,-0.014289557000000008,-0.01399411300000003,-0.013682343000000041,-0.014369846999999991,-0.014284890999999966,-0.01304398000000001,-0.013552684999999953,-0.013221613000000021,-0.013360891999999958,-0.013085474000000041,-0.012617360000000022,-0.011927203999999969,-0.01284075400000001,-0.012902778000000004,-0.011880147000000063,-0.012034161000000043,-0.011896295999999973,-0.011555017,-0.011245264000000033,-0.01099535500000004,-0.01191499500000004,-0.011088272999999982,-0.011647313999999964,-0.011894834999999992,-0.011584285000000027,-0.011242544999999993,-0.011423460999999968,-0.011311553999999946,-0.011687718000000014,-0.01091015199999995,-0.010144938999999964,-0.010953941000000023,-0.010620519999999967,-0.011175617999999998,-0.011710405999999951,-0.011438865999999992,-0.011435165000000025,-0.011101005000000053,-0.011694669999999963,-0.01174900000000001,-0.010777970999999997,-0.010934591999999965,-0.011621062000000015,-0.011814853000000014,-0.010997522999999954,-0.011406433000000049,-0.011187007000000027,-0.011803751999999945,-0.011782166999999955,-0.01100801100000004,-0.011874434999999961,-0.010186786000000059,-0.011224113999999952,-0.011590720000000054,-0.011565627999999939,-0.011741245000000011,-0.010944822999999937,-0.01098556700000003,-0.011595656999999981,-0.011391344000000025,-0.011668065000000005,-0.010980041999999968,-0.011666446999999969,-0.011183876999999953,-0.011096753999999986,-0.011280588000000036,-0.010840204999999992
693,-0.047741357,-0.047788065,-0.046150532999999994,-0.045216476,-0.043728146,-0.042843407,-0.041906109999999996,-0.04100269199999999,-0.039419859999999994,-0.038711951999999994,-0.037189308,-0.036334308,-0.034705614999999995,-0.033113213,-0.03178226000000001,-0.030974158,-0.030031875000000013,-0.029459949,-0.02803365399999999,-0.02723239800000002,-0.026604175000000008,-0.025710442,-0.024739490000000003,-0.024034619000000007,-0.023268966999999974,-0.02178621,-0.02143231099999998,-0.02088648699999998,-0.019546235999999995,-0.018670817000000006,-0.018847470000000005,-0.017974096999999994,-0.01733666899999997,-0.016097505000000012,-0.015527926999999997,-0.014232741999999965,-0.013859995999999986,-0.013931351000000036,-0.013245488999999944,-0.012357530999999977,-0.01170378900000002,-0.011418191000000022,-0.011261993999999997,-0.011088809000000033,-0.010371976999999977,-0.009834047000000012,-0.00971791200000005,-0.009451151000000046,-0.008416150000000011,-0.009491317000000055,-0.009545637999999967,-0.008247673000000011,-0.00842998300000003,-0.008025249000000012,-0.007683630999999969,-0.007657951000000052,-0.0075044460000000535,-0.007268171999999962,-0.007580196999999955,-0.00584071900000005,-0.006906536999999935,-0.0062210780000000465,-0.0059728769999999876,-0.006477360000000043,-0.005701010000000006,-0.005706294999999972,-0.006359675000000009,-0.006287083999999998,-0.004900736000000017,-0.005328645000000021,-0.005024711999999931,-0.004646380999999977,-0.004153036000000054,-0.004354266000000051,-0.005142006000000032,-0.004059816999999966,-0.0041546099999999475,-0.005266075999999953,-0.0047428740000000635,-0.003992087000000033,-0.0044377029999999595,-0.00400455999999999,-0.004592641000000008,-0.004568074999999949,-0.00321738399999999,-0.0036881430000000326,-0.0036567100000000075,-0.004096438999999952,-0.004686405999999976,-0.005009508999999968,-0.0038216330000000465,-0.003952111000000036,-0.004279807999999996,-0.004869513999999964,-0.004692941000000006,-0.00453861599999994,-0.003925786000000042,-0.004253348999999962,-0.004199674999999958,-0.0045496110000000645,-0.005547164000000049,-0.005330020999999963,-0.005652230999999952,-0.003908256000000054,-0.004946167999999973,-0.004114832000000068,-0.0033125259999999823,-0.004288720000000024,-0.0047687199999999486,-0.005103760000000013,-0.004430358999999939,-0.003737406000000054,-0.005031249999999987,-0.0050138150000000326,-0.00535248599999999,-0.004068624999999992,-0.0044774300000000045,-0.004267660999999923,-0.004087834999999984,-0.00426054500000006,-0.004640758000000023
692,-0.048022251,-0.047215738,-0.045635592999999995,-0.044564626999999996,-0.043255628000000004,-0.042460894,-0.040615999,-0.039472837999999996,-0.03800329599999999,-0.03700677199999999,-0.034783846,-0.033972666,-0.032065069,-0.030597002000000012,-0.029702383,-0.028249513000000004,-0.027065498000000007,-0.026279114999999992,-0.02460566699999997,-0.024125964,-0.023431848000000005,-0.021949560000000007,-0.01997443900000001,-0.020038975000000014,-0.018815287999999986,-0.017703353000000005,-0.017057288999999975,-0.01566445899999999,-0.015416246999999994,-0.014315336999999984,-0.014131964999999996,-0.013028859000000004,-0.011366264999999987,-0.011360203999999985,-0.010487036000000005,-0.009203461999999996,-0.008583569999999985,-0.008542055000000048,-0.006883506999999955,-0.006924364999999988,-0.006004743000000035,-0.005394696000000032,-0.005233097999999992,-0.004816111000000012,-0.004010504999999942,-0.0040135930000000375,-0.0032496500000000483,-0.0033645300000000322,-0.002808065999999998,-0.0030276120000000684,-0.002335399999999932,-0.0017098210000000558,-0.0018134439999999974,-0.001489412999999995,-0.0014308949999999876,-0.0015474030000000583,-0.0003778210000000559,-0.0003994760000000097,-0.0010666089999999406,-0.00014464100000005642,0.0006396530000000733,0.00021128699999994893,0.000728635000000033,1.477999999943691e-06,0.0011260240000000032,0.0010264670000000309,0.0007434310000000166,0.0008400570000000052,0.0009504999999999653,0.0018708829999999343,0.0021233370000000584,0.002354866000000011,0.002460193999999971,0.0024008159999999723,0.001916425999999971,0.00211247100000006,0.0025886600000000204,0.0019652160000000474,0.0025191079999999366,0.0020625289999999796,0.0021155570000000457,0.0020940300000000245,0.0025257309999999755,0.00294975800000008,0.0031353490000000095,0.0025583509999999587,0.0034041590000000177,0.0029497510000000005,0.002000325000000025,0.0027206000000000174,0.002810998999999925,0.0027667709999999457,0.0029950940000000315,0.0025427270000000224,0.0025824190000000025,0.00200205100000006,0.0024692009999999764,0.002601882,0.002674236000000052,0.0022947599999999513,0.002087294999999989,0.0017582460000000188,0.001950589000000058,0.0029987799999999787,0.0021795830000000405,0.002556704999999937,0.0029077800000000265,0.002136853999999966,0.002404482000000041,0.0020645709999999595,0.0026116370000000555,0.0026913749999999403,0.002469775999999979,0.0021701169999999714,0.0014029420000000181,0.002530387000000023,0.0019179980000000318,0.002240055000000074,0.0027863260000000056,0.00248957199999994,0.0024286089999999705
691,-0.047657351,-0.047112522999999996,-0.046120639,-0.043833482,-0.042737332,-0.041290714,-0.039346561999999995,-0.038180852,-0.036444777,-0.035669482999999995,-0.033142633,-0.03182043,-0.02970827799999999,-0.02826890800000001,-0.026435666999999996,-0.025409867000000003,-0.02405887000000001,-0.023025660000000003,-0.021376951999999977,-0.02093294300000001,-0.019679842000000003,-0.01837129500000001,-0.016747080999999997,-0.016232441000000014,-0.014538972999999983,-0.013832244999999993,-0.012303809999999998,-0.011592276999999984,-0.01093345300000001,-0.009682047999999999,-0.009346701000000013,-0.00759106599999998,-0.0070904660000000175,-0.005871605000000002,-0.004567052000000016,-0.004180773999999998,-0.0032068179999999447,-0.002397098000000042,-0.0020399079999999237,-0.0015019379999999805,-0.00011500400000002964,0.00018266099999997287,0.0008637789999999534,0.0012657799999999941,0.0014021270000000308,0.001948968999999967,0.0021716989999999714,0.002271117999999961,0.00449195899999999,0.003178578999999959,0.0036217480000000357,0.0042921829999999495,0.004125415000000021,0.0049213229999999775,0.0048071869999999906,0.00484508699999997,0.005013769999999973,0.005825563000000034,0.0060764990000000685,0.007005454999999994,0.00668190800000007,0.006991411000000003,0.007062351000000022,0.00766635099999996,0.007721321000000003,0.007854854999999994,0.007939640999999997,0.008178034,0.008964237999999958,0.00801933999999993,0.008799253000000062,0.00947930800000002,0.009520327999999967,0.00846327899999999,0.008630002999999942,0.008978255000000046,0.009028725000000015,0.009082917000000024,0.009318410999999971,0.009355457999999983,0.009784041000000021,0.00936123800000005,0.009894780999999964,0.010042370000000078,0.01016050700000004,0.010360266999999979,0.010285083000000028,0.009717434000000025,0.010008197000000052,0.009183940000000002,0.009857587999999973,0.009478874999999998,0.00964971600000003,0.009375035000000032,0.008934017000000016,0.009440417000000034,0.009498702999999997,0.01043199100000003,0.009234822000000031,0.009343748999999957,0.009018675999999948,0.009220023000000022,0.008386311000000035,0.009505058999999982,0.00862932400000005,0.01004240199999995,0.00985310300000003,0.00994184499999995,0.008923696000000036,0.008948823999999966,0.009631220000000051,0.009341096999999965,0.009566410999999997,0.009049059999999942,0.009310533999999981,0.009711192000000035,0.009103258000000003,0.008965014000000049,0.009643060000000037,0.008842888999999965,0.009682466999999972
