C2_neg_control,0s,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,330s,360s,390s,420s,450s,480s,510s,540s,570s,600s,630s,660s,690s,720s,750s,780s,810s,840s,870s,900s,930s,960s,990s,1020s,1050s,1080s,1110s,1140s,1170s,1200s,1230s,1260s,1290s,1320s,1350s,1380s,1410s,1440s,1470s,1500s,1530s,1560s,1590s,1620s,1650s,1680s,1710s,1740s,1770s,1800s,1830s,1860s,1890s,1920s,1950s,1980s,2010s,2040s,2070s,2100s,2130s,2160s,2190s,2220s,2250s,2280s,2310s,2340s,2370s,2400s,2430s,2460s,2490s,2520s,2550s,2580s,2610s,2640s,2670s,2700s,2730s,2760s,2790s,2820s,2850s,2880s,2910s,2940s,2970s,3000s,3030s,3060s,3090s,3120s,3150s,3180s,3210s,3240s,3270s,3300s,3330s,3360s,3390s,3420s,3450s,3480s,3510s,3540s,3570s,3600s
700,-0.043988268,-0.043514753,-0.043694339,-0.043800275,-0.043903603,-0.04358701399999999,-0.043678199,-0.043558247,-0.04382172000000001,-0.043674929,-0.043555926,-0.043535500000000005,-0.043703489,-0.043905021,-0.043660491999999995,-0.043785650999999995,-0.04389452,-0.044392661,-0.043635995000000004,-0.043644981,-0.043649612,-0.043903334,-0.043943613,-0.044299614,-0.04378396,-0.043326141,-0.04412194900000001,-0.043655284,-0.043880376000000006,-0.044005168,-0.043872296,-0.043943126,-0.043683348,-0.043927152,-0.04354616,-0.043940253,-0.043873194000000004,-0.043945428999999994,-0.043910844,-0.043657984,-0.044125901999999995,-0.043662594,-0.043874066,-0.043547125000000006,-0.043837537999999995,-0.043917154,-0.044326256,-0.044027779,-0.043863225000000006,-0.044177224,-0.043980776,-0.043728257000000006,-0.044009961,-0.044279752,-0.043400023999999995,-0.043729207,-0.043901868999999996,-0.043615337000000004,-0.043465674,-0.043744409000000005,-0.043692009000000004,-0.043798327,-0.043712456000000004,-0.043715234,-0.043911597,-0.04389372600000001,-0.043779628,-0.043805812,-0.043839302,-0.043667373,-0.04374078000000001,-0.043712481,-0.043758253000000004,-0.043641753000000005,-0.043726828,-0.043999882000000004,-0.043439692,-0.043860843000000004,-0.043624055,-0.043784799,-0.043624104999999996,-0.044021982,-0.043485035000000005,-0.043798918,-0.043951466,-0.043962043,-0.043863119,-0.043622701,-0.043926259,-0.04361150800000001,-0.04351547,-0.043578733,-0.04349684100000001,-0.043728447000000004,-0.043785139,-0.043582989,-0.043913811999999997,-0.043432640999999994,-0.043975700000000006,-0.043944073,-0.043544232,-0.043580234,-0.043720148,-0.043937595,-0.043602502,-0.043545367,-0.043810088999999997,-0.043671479,-0.04354203100000001,-0.043627801,-0.043525985,-0.043853962,-0.04357699400000001,-0.043637383,-0.043688114,-0.044010169,-0.043395131,-0.043560634,-0.043558181,-0.043658011,-0.04346699400000001
699,-0.043640424,-0.043189148999999996,-0.043467734,-0.043140898,-0.043334921,-0.043475508999999996,-0.043497078999999994,-0.043384924,-0.04360222300000001,-0.043781755000000006,-0.04332863,-0.043314005,-0.043013986000000004,-0.043540481,-0.043452077000000006,-0.04342291399999999,-0.043772718,-0.043517166999999995,-0.043328345000000004,-0.043496697,-0.043499264,-0.043509961,-0.043569221,-0.043822684,-0.043334224000000005,-0.043564936,-0.04362719600000001,-0.043350364,-0.043316356,-0.043447559,-0.043457738,-0.04368762500000001,-0.043248754,-0.043423635,-0.043675689000000004,-0.04343546,-0.043256253,-0.043420394,-0.043632874,-0.043286016999999996,-0.043517296999999996,-0.043499581999999995,-0.04386657100000001,-0.043516806000000005,-0.043412817000000006,-0.043361514000000004,-0.043584522,-0.04357698,-0.043410304999999996,-0.043551253,-0.04363014600000001,-0.043362069,-0.043263877,-0.043668889,-0.04309898200000001,-0.043735813,-0.043588848,-0.04320385,-0.043443553,-0.04330913,-0.043566348000000005,-0.043338022000000004,-0.043364895,-0.043688159,-0.043645329,-0.043582211999999995,-0.04364653,-0.043276013,-0.043297478,-0.043499636,-0.043285583,-0.043530804,-0.043242352,-0.04333809400000001,-0.043394971000000004,-0.043687903,-0.043273761,-0.04363888,-0.043240566,-0.043526671,-0.043564877,-0.043298978,-0.043377624000000004,-0.043681242,-0.043321172000000005,-0.043090392,-0.043648150000000004,-0.043272417,-0.043500038000000005,-0.043204783999999996,-0.043819002,-0.043503687,-0.043629396,-0.043610703,-0.043515291000000005,-0.04308096,-0.043236213999999995,-0.043444546,-0.04355801300000001,-0.043576797,-0.043549575,-0.043396537,-0.043792288,-0.043396728,-0.043451498,-0.043034846,-0.043532352999999996,-0.043207258,-0.043715397,-0.04326704,-0.042987363,-0.043344985,-0.04361308600000001,-0.043245146,-0.04341576900000001,-0.043310509,-0.043243875,-0.04323932600000001,-0.043394615,-0.04334613600000001,-0.04340065
698,-0.043213642999999996,-0.043131585,-0.043032788,-0.043508487,-0.043290618,-0.043431648,-0.04326953,-0.043127835,-0.043439789000000006,-0.04374874100000001,-0.04305704,-0.043344516,-0.043195581999999996,-0.04333462,-0.043238311,-0.043396523000000006,-0.043875556,-0.043225646000000006,-0.043231715000000004,-0.043273497,-0.043619293,-0.043266787,-0.043295002,-0.043664653,-0.043259723,-0.043244294,-0.04334799,-0.043170217999999996,-0.043015001000000004,-0.043413339999999995,-0.043379364000000004,-0.043245307,-0.043211846,-0.04324846,-0.043397698,-0.043250296,-0.043305397,-0.043163690000000005,-0.043312284,-0.043013282,-0.043509000000000006,-0.04296482,-0.043372276,-0.043374645,-0.043535754999999995,-0.043535029,-0.043487631000000006,-0.04338266,-0.043549567,-0.043318995,-0.043457022,-0.043207348000000007,-0.043072182,-0.043355681,-0.043277729,-0.04346985,-0.04354596000000001,-0.043220869999999995,-0.043102264,-0.043264824,-0.043054378000000004,-0.043077598999999994,-0.043360769,-0.043388388,-0.04340468,-0.04368659,-0.043715544,-0.043083317999999995,-0.043038511,-0.043210127,-0.043135885,-0.043587809,-0.04294163,-0.04334001700000001,-0.043481978000000004,-0.043516875999999996,-0.043204652,-0.043596986,-0.043335040000000005,-0.043387889,-0.043399428,-0.043356839999999994,-0.043237086,-0.043285915,-0.043431949000000004,-0.043140522,-0.043392474,-0.043436836,-0.043273171000000006,-0.04357163,-0.043087964000000006,-0.043557922,-0.043408793,-0.043070771,-0.043093338,-0.043480342,-0.043585761,-0.043313051000000005,-0.043346298000000005,-0.043478916000000006,-0.043194210000000004,-0.043348701,-0.043416277,-0.043680132,-0.043308834,-0.043084753,-0.043394474,-0.043579059,-0.043106555000000005,-0.043310927,-0.043026435,-0.043064287,-0.043316807,-0.043435285000000004,-0.043094313999999995,-0.043194759,-0.043484828,-0.043510778,-0.043053413,-0.04340466500000001,-0.04333790700000001
697,-0.043167229,-0.043387755,-0.043051734,-0.04301558,-0.043335764,-0.043640836,-0.043418837,-0.04311719,-0.043151362,-0.043259459,-0.042991098,-0.042854443000000006,-0.043307043,-0.043014999,-0.043252937000000005,-0.043076479,-0.043398342,-0.043162724,-0.042772731,-0.043546506,-0.043548808,-0.043568729,-0.043445773,-0.043272912,-0.04352152200000001,-0.043161963,-0.043421721999999996,-0.043440198,-0.043033531,-0.043322251000000006,-0.043112636,-0.04357193300000001,-0.042937633,-0.043512462,-0.043459865,-0.043281287,-0.043441357,-0.043119922000000005,-0.04332626,-0.043038565,-0.043420632,-0.043460366,-0.04348424100000001,-0.043243505,-0.043633123999999995,-0.043327056,-0.044021315000000005,-0.043344113000000004,-0.043753481999999996,-0.043243768,-0.043259959,-0.04326324100000001,-0.043467298,-0.043147844000000005,-0.04350701,-0.04343647,-0.04366205200000001,-0.043136418999999995,-0.043374698,-0.043396933000000006,-0.04329672400000001,-0.043159766,-0.043291091000000004,-0.043249515,-0.043509438,-0.043268738,-0.043485267,-0.043394693,-0.04349541,-0.043209188,-0.043185024,-0.043508254,-0.043046649,-0.043449495000000005,-0.043851848,-0.043488513000000006,-0.043635493,-0.043405458,-0.043216979,-0.043165887,-0.042867594,-0.043461243999999996,-0.043358125000000004,-0.043682086,-0.04342548,-0.042841999,-0.043645245,-0.043035124,-0.043526238,-0.043388973,-0.043248439,-0.043408654,-0.043153126,-0.043092916,-0.043352430000000004,-0.043467779,-0.043220219000000004,-0.043387781,-0.043070906000000006,-0.043139727,-0.043173339,-0.043404463000000004,-0.043196865,-0.043362075,-0.04300868,-0.043116129,-0.04317040800000001,-0.043655217999999996,-0.043364375999999996,-0.04317053,-0.043080463000000006,-0.043331813000000004,-0.043147689,-0.043179153,-0.043211938000000005,-0.043300146,-0.043320237,-0.043177568,-0.043206602999999996,-0.043607438,-0.043223182
696,-0.04317323000000001,-0.043341791000000005,-0.043534866,-0.043546892,-0.043466440999999995,-0.043381129000000004,-0.043414246000000004,-0.043112641,-0.043125711,-0.04390021200000001,-0.043152137,-0.043512779,-0.043209129,-0.043253494,-0.043494621,-0.043635944999999995,-0.043333367,-0.043623368999999995,-0.043195672000000004,-0.043478141,-0.043685785,-0.043100796,-0.043593541,-0.043775088000000004,-0.04397729,-0.043385664000000004,-0.04352276100000001,-0.043703779,-0.043402747000000005,-0.042893642999999995,-0.043463503,-0.043245307,-0.043765887,-0.04319550900000001,-0.043540630000000004,-0.042940403,-0.043609608,-0.043524129999999994,-0.043560882,-0.04310118,-0.043704891999999995,-0.043219789999999994,-0.043531635,-0.043346704,-0.043536363999999994,-0.043561692,-0.043799881000000006,-0.043498091,-0.04365622200000001,-0.04344536,-0.043490865000000004,-0.043377257,-0.043468704,-0.043420422,-0.043463712,-0.043603906,-0.04353771000000001,-0.043722222000000005,-0.043187248,-0.043262854,-0.043385195,-0.044124251,-0.043425466,-0.043797294,-0.043307961000000006,-0.043650269000000005,-0.043658244,-0.04369043,-0.043107618,-0.043448773,-0.043145498000000004,-0.043633792,-0.043313959,-0.0432231,-0.043635137000000004,-0.04391497600000001,-0.042835146,-0.043270035,-0.043435915000000005,-0.04349784,-0.04279742,-0.043249736999999996,-0.043576399,-0.043113544000000004,-0.043163514,-0.043191631,-0.043305918,-0.043475506000000004,-0.043347587,-0.043648055000000005,-0.042800958,-0.043617727,-0.043318709999999996,-0.043350316,-0.043436118,-0.043442933,-0.043302206999999995,-0.043130203000000006,-0.043773652999999996,-0.043263248000000004,-0.04334633,-0.043297249,-0.043650901000000006,-0.043449101000000004,-0.043604845,-0.043026683999999996,-0.043321532999999995,-0.043461396,-0.04361670100000001,-0.043243407,-0.043213581,-0.043536625,-0.043157589999999996,-0.043416064000000004,-0.043031665,-0.043178435,-0.043068353000000004,-0.04327378800000001,-0.04307382,-0.043589767,-0.043347943
695,-0.04320979900000001,-0.043079217,-0.043182272,-0.043102505,-0.04348115600000001,-0.043449784000000005,-0.043248859,-0.043532481,-0.043279544,-0.04362078,-0.043502428,-0.043298960000000004,-0.043243535,-0.043482677,-0.043379209,-0.043694831,-0.043554363,-0.043342934,-0.043360816,-0.043253899,-0.043551713,-0.043591691,-0.043415633,-0.043236233,-0.043676886,-0.043398037,-0.04338014700000001,-0.043530014,-0.043630853000000004,-0.043393418,-0.042863203,-0.043313775,-0.043091392000000006,-0.043360813,-0.043557503000000004,-0.043165141,-0.043543909000000006,-0.043417019,-0.043554507,-0.043112294999999995,-0.04356309,-0.043410790000000005,-0.043541431000000005,-0.04346483100000001,-0.043691779,-0.043523407,-0.043838387,-0.043600743,-0.043544505,-0.043464206000000005,-0.04385631300000001,-0.043479760000000006,-0.04320732,-0.043460405,-0.043115068000000006,-0.043698002,-0.04393957,-0.04328383399999999,-0.043510428999999996,-0.043152513,-0.044017706000000004,-0.043380442000000005,-0.043590354000000005,-0.043555895,-0.043574999,-0.043393873,-0.043034717,-0.043460888,-0.043423739,-0.043515527000000005,-0.043233033000000004,-0.043585606,-0.043351892,-0.04365820000000001,-0.043501712,-0.04343736200000001,-0.043085583,-0.043472357,-0.043105218,-0.043630681,-0.043218392,-0.043356934,-0.043491970000000005,-0.043198261,-0.043652105000000004,-0.043085702000000003,-0.043288192,-0.043215345,-0.043537205,-0.043771964,-0.043613860000000004,-0.043282974,-0.043175597999999996,-0.043276461,-0.043212209,-0.043295423,-0.04309139000000001,-0.04365593400000001,-0.043111632,-0.04334560800000001,-0.043541327,-0.043354048,-0.043252444,-0.043070673000000004,-0.043265599,-0.04299839800000001,-0.043306015,-0.042966253999999995,-0.04327760800000001,-0.043367935,-0.042936842,-0.043487235,-0.043832948999999996,-0.043450755,-0.04366473,-0.043347553999999996,-0.043330461,-0.043569865,-0.043132641,-0.043649574999999996,-0.043208405000000005
694,-0.043192828,-0.043235599,-0.043227276,-0.043204786,-0.043202563,-0.04330566600000001,-0.043152053999999995,-0.043248148,-0.043296982,-0.043585927,-0.043049677,-0.043583841000000005,-0.04367707900000001,-0.043042385,-0.043586581,-0.043152936,-0.043371481,-0.043573667999999996,-0.043375575,-0.043476501,-0.043517685,-0.04310863000000001,-0.04328131,-0.043275069,-0.043585577,-0.0432645,-0.043575239,-0.043495468,-0.043188589,-0.043500474,-0.043382458,-0.043618278999999996,-0.043449747,-0.043543347999999996,-0.04339587,-0.043394778,-0.043653136,-0.043443694000000005,-0.04392658,-0.043147326,-0.043261946999999995,-0.043123719000000005,-0.043257092,-0.043544126,-0.043566589,-0.04352396900000001,-0.04347202,-0.043451819,-0.04359207300000001,-0.043333907000000005,-0.043752426,-0.043218508,-0.043617494,-0.04360634,-0.043458511000000005,-0.043485695,-0.04402526400000001,-0.04341789,-0.043509023,-0.043693401,-0.043791781,-0.043530028,-0.043684159,-0.043368417,-0.043436556,-0.043912884,-0.043619587,-0.043583922,-0.043945132,-0.043362314000000006,-0.043261441,-0.043477356,-0.043471483,-0.043728527,-0.043410254,-0.043666628,-0.04316756,-0.043068885,-0.043265511,-0.043408428,-0.043238699,-0.043329176,-0.043419054000000006,-0.043501857,-0.043274003000000005,-0.04316017,-0.043605415,-0.043184766,-0.043688277000000005,-0.043282680000000004,-0.043687217,-0.043574233000000004,-0.043433032999999996,-0.043234955000000005,-0.043010522,-0.043570476000000004,-0.043749864,-0.043484901000000006,-0.043392813,-0.04369738200000001,-0.043746213,-0.043155335,-0.043659428,-0.043362450000000004,-0.043326699,-0.043287228,-0.043359270000000005,-0.043714214,-0.043398797,-0.043038251,-0.043053356,-0.043040504,-0.043602399,-0.043762475,-0.043394855999999996,-0.04336012,-0.043495376,-0.043269474,-0.04325907600000001,-0.04327906200000001,-0.042895633
693,-0.043368697,-0.04355924800000001,-0.04335256,-0.043451483,-0.043315230999999996,-0.043383331,-0.043457679,-0.043442753,-0.043602129,-0.043705514,-0.043268401,-0.043627822000000004,-0.043395470000000005,-0.043587693,-0.043674307999999995,-0.043275427000000005,-0.043572685,-0.043762137000000007,-0.043321364,-0.043427294,-0.04373929,-0.043600547,-0.04370144,-0.043532251999999994,-0.043554089000000004,-0.043120650999999996,-0.043814216,-0.043660532,-0.04394854,-0.043445027,-0.04339624,-0.043783144999999996,-0.043464886999999994,-0.043753679000000004,-0.043342604,-0.043243685,-0.043395886,-0.043909699999999996,-0.043559241,-0.043601538999999995,-0.043081338999999996,-0.043277966,-0.043609722000000004,-0.043474345,-0.043082779,-0.043018359000000006,-0.043262502,-0.043521107,-0.043369094,-0.04334474000000001,-0.043527939,-0.043162093,-0.043939362,-0.043402983,-0.043345232,-0.043523665,-0.043628779000000006,-0.043445118000000005,-0.043293923,-0.043244990000000004,-0.043435447,-0.043229680000000006,-0.043396869000000005,-0.043266771,-0.043358549999999996,-0.043300869000000006,-0.043882013000000004,-0.043514606,-0.043331332,-0.043409578000000004,-0.043290036000000004,-0.043584762,-0.043443264,-0.043116614,-0.043617659,-0.043706694000000004,-0.042760053,-0.043480889,-0.043366683,-0.043305068,-0.043204088,-0.04307327,-0.043540278,-0.043632889,-0.043252761,-0.043044524,-0.043718615,-0.043070217,-0.04330881,-0.043390707,-0.043100675000000005,-0.043463651,-0.043496138000000004,-0.043438411,-0.043415631,-0.04342554,-0.043316323000000004,-0.043043701000000004,-0.04334568900000001,-0.043524297,-0.043696277,-0.043289134,-0.043503467000000004,-0.043227985000000003,-0.043290875,-0.043162697,-0.043149256999999996,-0.043389658,-0.043493839000000006,-0.043194824,-0.043056920000000005,-0.043272788,-0.043405445,-0.043623185,-0.043302233999999995,-0.043358103999999995,-0.043296598,-0.043432092000000005,-0.04335045600000001,-0.043462951,-0.043300716
692,-0.043703599999999995,-0.04321422600000001,-0.043146688,-0.043293922,-0.043499010000000005,-0.043965076000000006,-0.043291371999999995,-0.043560965,-0.043432104,-0.04375019300000001,-0.043323615,-0.043306974000000005,-0.043334412,-0.043355988,-0.043599978,-0.043389023,-0.043442778,-0.043659013999999996,-0.043000502,-0.043560749,-0.043991825,-0.043524677,-0.043576765,-0.043637192000000005,-0.043563695,-0.043511621,-0.043691465,-0.043650129,-0.043672637,-0.04377750800000001,-0.043628688,-0.043466241,-0.043006426,-0.043602066999999994,-0.04399185,-0.043212972,-0.043589130000000004,-0.043759027000000006,-0.043362606,-0.043567388,-0.043294730000000003,-0.043324182,-0.043316141,-0.042974864,-0.043961339,-0.04353826200000001,-0.043686920000000004,-0.043662557000000005,-0.043470918,-0.043637157999999995,-0.043414832,-0.043165892,-0.043385407,-0.043664391000000004,-0.04342486300000001,-0.043517712,-0.043491817,-0.043105513,-0.043406853,-0.043360839000000005,-0.043315901000000004,-0.043378849,-0.043309426,-0.043505378,-0.043548523000000006,-0.043745166,-0.043592126,-0.0433298,-0.043422895,-0.043399216000000004,-0.043123881,-0.043190637000000004,-0.043808231,-0.043458074,-0.043139519,-0.043255166,-0.043130513,-0.043617512,-0.043239956,-0.043561781,-0.043455116,-0.043855851,-0.04328453,-0.043482639000000003,-0.043602207000000004,-0.043524398,-0.043462794,-0.043364878,-0.04340502,-0.0438713,-0.043536649000000004,-0.043251408,-0.043225184,-0.043299955,-0.043647636000000004,-0.043513529,-0.043349197000000006,-0.043604397,-0.043875203,-0.043566532000000005,-0.043101195,-0.043669944,-0.043380693,-0.043319212,-0.043153131,-0.043172497000000004,-0.043167875999999994,-0.043462380999999994,-0.04340564300000001,-0.04315313,-0.04322774,-0.043506026,-0.043507801,-0.043788005,-0.043735534000000006,-0.043329969999999995,-0.043335808,-0.043622900000000006,-0.04355302600000001,-0.043747941,-0.043770970000000006
691,-0.043580097,-0.043238504999999997,-0.043882447000000005,-0.043166023,-0.043605324,-0.043678493,-0.043528887,-0.04344847,-0.043613231,-0.043644342,-0.043509549,-0.043507579000000005,-0.043630626000000006,-0.043235121,-0.043365851999999996,-0.043617345,-0.04342042,-0.043583365,-0.043054191,-0.043706482,-0.043622761,-0.04336042500000001,-0.043540448,-0.043681054,-0.04311162,-0.043403801000000006,-0.04347308800000001,-0.043608189,-0.043735166,-0.043226359000000006,-0.04348989,-0.043418425,-0.043525862,-0.043501963000000005,-0.043296132,-0.043636098,-0.043805614,-0.04344392800000001,-0.043507676,-0.043627162,-0.043318882,-0.043332711999999995,-0.04359270900000001,-0.043497216000000005,-0.043466674,-0.043502365,-0.043916654,-0.043695780000000004,-0.043203086,-0.043594137000000005,-0.043620306,-0.043494663,-0.043697796,-0.043361447000000004,-0.043507525000000005,-0.043358215,-0.04378715400000001,-0.043224479999999996,-0.043114037,-0.043289251,-0.043493567999999996,-0.043433543000000005,-0.04350909,-0.043698839,-0.043147482,-0.043445688999999996,-0.043049216,-0.043219639000000004,-0.043178872,-0.043399403,-0.043039889,-0.043457756,-0.043459858000000004,-0.043457511000000004,-0.04335146,-0.043726702000000006,-0.04372116,-0.043609358,-0.043286188,-0.04332744,-0.043298768,-0.043412255999999996,-0.043044815,-0.042983341,-0.043206897,-0.042923686,-0.043538492,-0.043467538,-0.042942668,-0.043446914,-0.043519922,-0.043114234,-0.043402368999999996,-0.043864893,-0.04347048,-0.043423665,-0.04334296,-0.043036382,-0.043694288,-0.043768695999999996,-0.043463011,-0.043276375,-0.0435464,-0.043325918,-0.043481543,-0.043414301,-0.043490741,-0.043107466,-0.043597343,-0.043069354000000004,-0.043250242,-0.043776839000000005,-0.04331249200000001,-0.043575901,-0.04334270800000001,-0.043321529,-0.043356443,-0.043294886000000005,-0.042967461,-0.043728540999999996,-0.043673745
