C2_neg_control,0s,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,330s,360s,390s,420s,450s,480s,510s,540s,570s,600s,630s,660s,690s,720s,750s,780s,810s,840s,870s,900s,930s,960s,990s,1020s,1050s,1080s,1110s,1140s,1170s,1200s,1230s,1260s,1290s,1320s,1350s,1380s,1410s,1440s,1470s,1500s,1530s,1560s,1590s,1620s,1650s,1680s,1710s,1740s,1770s,1800s,1830s,1860s,1890s,1920s,1950s,1980s,2010s,2040s,2070s,2100s,2130s,2160s,2190s,2220s,2250s,2280s,2310s,2340s,2370s,2400s,2430s,2460s,2490s,2520s,2550s,2580s,2610s,2640s,2670s,2700s,2730s,2760s,2790s,2820s,2850s,2880s,2910s,2940s,2970s,3000s,3030s,3060s,3090s,3120s,3150s,3180s,3210s,3240s,3270s,3300s,3330s,3360s,3390s,3420s,3450s,3480s,3510s,3540s,3570s,3600s
700,-0.011804014,-0.001858101,0.008366113,0.01737264,0.030273409,0.039107178,0.04953439,0.060739771,0.071769482,0.081668479,0.091107866,0.103147053,0.11204493,0.118602022,0.127469217,0.144385646,0.159257826,0.166881896,0.170324081,0.178713109,0.18491584,0.192272832,0.201192045,0.210009552,0.219128114,0.228723992,0.236556711,0.244305299,0.25073239,0.257803416,0.265457213,0.272677682,0.28030336,0.287167753,0.293510315,0.300880194,0.306537242,0.313062816,0.319292432,0.32465401,0.330662631,0.336236867,0.341681481,0.34727722,0.352102496,0.356234718,0.359468505,0.363762907,0.366851678,0.367709047,0.369789496,0.374378723,0.379834123,0.381672932,0.38542082,0.377696621,0.387379101,0.392738908,0.39396059,0.39754167,0.397718087,0.40085172,0.401811466,0.405300081,0.405521691,0.409970454,0.414358857,0.417988718,0.421562383,0.422672186,0.423452568,0.427891928,0.428423607,0.428342705,0.428437873,0.429259575,0.429933209,0.433379349,0.435425624,0.436092116,0.436572568,0.436671326,0.438338988,0.436819116,0.438670832,0.437762304,0.438417122,0.440822817,0.438857522,0.442048588,0.444048199,0.444259859,0.445098084,0.446483966,0.445709304,0.446491095,0.444513368,0.441826618,0.443011219,0.444144245,0.445053541,0.442771931,0.444496763,0.441309893,0.439982208,0.439211396,0.436821487,0.438203248,0.438121391,0.435581988,0.435660791,0.433570734,0.432402218,0.436146702,0.432931173,0.432549052,0.431719185,0.433253959,0.432350517,0.43421092,0.432584901
699,-0.011598349,-0.001139557,0.00864535,0.018438551,0.030819384,0.039529342,0.050463667,0.06200626,0.07283545,0.083182144,0.09302939,0.104498577,0.114948912,0.120969525,0.129521697,0.146842947,0.162479917,0.169712211,0.173283264,0.181538212,0.18740601,0.195536021,0.204617983,0.213210224,0.222593679,0.231794493,0.240012736,0.247276432,0.25486041,0.26180025,0.269947051,0.27701093,0.284504284,0.291766997,0.298379508,0.305023165,0.311341245,0.317935759,0.324198142,0.329937937,0.335359582,0.341074499,0.346304993,0.351838665,0.356864663,0.361004801,0.364951338,0.369364343,0.371912475,0.372979931,0.374542143,0.37957756,0.384758454,0.387824483,0.38997264,0.383186555,0.391591693,0.398152675,0.398815182,0.402280304,0.403366228,0.407510371,0.407698594,0.410409758,0.410948087,0.415174018,0.419294349,0.423264595,0.427957976,0.429108842,0.429436105,0.43432677,0.433488024,0.433632802,0.434446944,0.43516319,0.43544439,0.4392299,0.441043202,0.442163323,0.442011054,0.442641254,0.4438898,0.442684976,0.444954734,0.444121752,0.443527135,0.44577324,0.444885546,0.447967406,0.449888928,0.450240741,0.451366389,0.452394741,0.450598501,0.451829321,0.449961398,0.447903363,0.44944551,0.449947137,0.450587725,0.448594825,0.449917667,0.446934222,0.445120483,0.444812152,0.442125242,0.443580112,0.443894656,0.441071432,0.44122087,0.438742377,0.437644187,0.442136276,0.438144498,0.438294104,0.438116173,0.43868981,0.437783229,0.439739381,0.439090786
698,-0.011246311,-0.000756764,0.009498905,0.019006347,0.032036693,0.04079307,0.051813065,0.063585727,0.074881816,0.084638375,0.094746323,0.106890112,0.117070798,0.12348328,0.132224841,0.149350192,0.164977383,0.173104527,0.176472636,0.184702942,0.190902719,0.198982696,0.208070743,0.217476371,0.225906793,0.23562892,0.244518068,0.251825978,0.259610757,0.266432539,0.274223361,0.281260155,0.288703212,0.296222089,0.303272973,0.310186638,0.316799317,0.323223078,0.3286691,0.334715066,0.340083727,0.346338608,0.35215817,0.357526772,0.361912308,0.366700882,0.370315284,0.374786298,0.377549454,0.37917969,0.380203517,0.385037477,0.391343453,0.392321934,0.395440734,0.389036774,0.398212343,0.404520736,0.404922433,0.408362512,0.408883209,0.413308887,0.414234102,0.416304218,0.416680007,0.421095957,0.425553168,0.429288998,0.433875226,0.435102841,0.435629169,0.439886686,0.439706677,0.441182764,0.440410641,0.441628413,0.442402528,0.445330646,0.44722489,0.448318355,0.44870301,0.448778957,0.450411003,0.449113343,0.450801757,0.450337874,0.450254246,0.45234849,0.450510585,0.454415625,0.456990101,0.457007006,0.457987878,0.459132323,0.457877912,0.45816035,0.456619669,0.454792812,0.455329682,0.456362401,0.457475473,0.455541335,0.456139063,0.453611726,0.452198988,0.451241002,0.448882858,0.449552851,0.450300311,0.447444849,0.447937634,0.445281063,0.44447544,0.448709921,0.444816621,0.444614849,0.443394578,0.445362441,0.444395058,0.447307611,0.445218137
697,-0.010944625,-0.000388944,0.010086811,0.02009111,0.03257783,0.041755048,0.052912469,0.064759369,0.076349163,0.086936703,0.096945634,0.109352358,0.119147586,0.125781365,0.134783679,0.153146826,0.168859101,0.175938908,0.180402396,0.188447364,0.194764119,0.202770957,0.212107255,0.221592882,0.230795017,0.239750727,0.248582438,0.256474006,0.263628944,0.271164743,0.277841504,0.285751048,0.293755235,0.301079104,0.308064981,0.315268522,0.321450203,0.328300336,0.334196743,0.340740379,0.346219844,0.351920644,0.358185581,0.364261082,0.368489734,0.372408071,0.376198009,0.381492788,0.383881829,0.385267586,0.387173027,0.391756298,0.397678827,0.400482508,0.40237408,0.39513746,0.404730806,0.410954221,0.411989683,0.415774991,0.415353637,0.420601531,0.420556431,0.423054967,0.423988078,0.427777366,0.432619456,0.436771486,0.440107738,0.442630889,0.44336131,0.446201388,0.446636618,0.447085256,0.448116476,0.448294482,0.449166532,0.451811298,0.454962765,0.455236631,0.456276272,0.455980594,0.457906701,0.455982111,0.458829855,0.457541202,0.457325048,0.460360292,0.458036926,0.461962131,0.464235176,0.464483234,0.465660414,0.466879247,0.464962029,0.465684807,0.464031489,0.461828363,0.463252556,0.463296748,0.464192395,0.462298234,0.463703491,0.460838825,0.459052235,0.459103564,0.456456915,0.457545062,0.459031862,0.454364921,0.454988594,0.451778588,0.452088535,0.455972051,0.451358778,0.451623203,0.45028111,0.452285669,0.451150214,0.452354469,0.453594622
696,-0.010541681,-2.55e-05,0.010363181,0.020830965,0.033788781,0.042982237,0.054621776,0.066850034,0.078529388,0.088749689,0.099209938,0.111548838,0.12152297,0.12843784,0.137943236,0.155690578,0.17201753,0.179910079,0.183920863,0.192254011,0.198251801,0.207266997,0.215824504,0.224903598,0.234383839,0.244457844,0.252606333,0.261555067,0.26851044,0.275762789,0.283427206,0.291425603,0.298383676,0.306429087,0.313517741,0.320777981,0.327744378,0.333254948,0.340028277,0.345945496,0.351831915,0.358329786,0.36374873,0.369402155,0.374010971,0.379287454,0.382982897,0.387043661,0.389792292,0.391321591,0.39280711,0.398151833,0.403320721,0.40581626,0.408390486,0.402810214,0.410901778,0.41714533,0.41866575,0.422629165,0.421681161,0.426018919,0.427258109,0.42952076,0.430683457,0.434724088,0.439249792,0.443456737,0.447908264,0.448670279,0.449492036,0.453838258,0.453872043,0.454018073,0.454726538,0.455875166,0.455656661,0.459419083,0.462597232,0.462776429,0.462679178,0.463790918,0.464131832,0.463442408,0.465788786,0.464960217,0.464139218,0.467791099,0.464923368,0.468485639,0.471973679,0.471870203,0.472926488,0.473176946,0.471876763,0.472804562,0.471288599,0.468478863,0.46969965,0.470976898,0.471190572,0.46990483,0.470707312,0.46784826,0.466577325,0.465229015,0.463327893,0.463960852,0.464794534,0.461567542,0.462447163,0.459481864,0.458283401,0.462248628,0.45884229,0.45872645,0.457640985,0.459812619,0.459327463,0.459616776,0.459599583
695,-0.010491956,0.000525518,0.011520127,0.02188352,0.035266219,0.043994311,0.056219672,0.068304415,0.080076549,0.090519416,0.101287306,0.114154022,0.124874406,0.131381645,0.141376977,0.158816019,0.175249319,0.18333945,0.187358706,0.195530661,0.202005513,0.210219434,0.220056424,0.229379288,0.238810353,0.24908721,0.257751444,0.265933237,0.272697616,0.28094753,0.288855467,0.296570248,0.304492863,0.312269138,0.319165966,0.325862472,0.332403498,0.339761688,0.34587807,0.352272103,0.357770836,0.363292788,0.370092201,0.375896341,0.380191838,0.38593501,0.389517657,0.393654086,0.396597433,0.397301412,0.399248047,0.404450275,0.410810742,0.412392397,0.415453446,0.408066874,0.417611423,0.423573546,0.42468565,0.428781131,0.428370122,0.432981084,0.433930764,0.437862964,0.43680903,0.44174293,0.446809058,0.450328565,0.454202346,0.456593483,0.457214619,0.460591494,0.460310496,0.460664501,0.461667355,0.462452156,0.462992082,0.466704149,0.469101769,0.469252058,0.470125275,0.469984194,0.472568536,0.470958177,0.472597509,0.471970686,0.471507256,0.473962875,0.472470989,0.475858692,0.47814131,0.478881309,0.479221015,0.481340439,0.47945889,0.479848747,0.479434999,0.476037133,0.477054112,0.47847035,0.478770289,0.477122834,0.47848928,0.474819939,0.473807864,0.472830783,0.470616761,0.472174216,0.471757356,0.469016125,0.469864504,0.466676894,0.465523044,0.469837584,0.465312479,0.466045001,0.46425636,0.466541362,0.465785457,0.466994778,0.466750362
694,-0.009904379,0.001001024,0.012018503,0.022512844,0.036093134,0.04545043,0.057660496,0.069758242,0.082159718,0.093173374,0.104112012,0.116592228,0.126558245,0.134527151,0.143762151,0.162042641,0.178966162,0.186416491,0.190862143,0.199290029,0.206520456,0.214756096,0.224275493,0.233769774,0.243398136,0.253295457,0.262344214,0.269740387,0.278061243,0.285583191,0.29348691,0.300920253,0.309301117,0.316568822,0.324172095,0.331519946,0.338230355,0.345263077,0.352029624,0.35763764,0.364085772,0.369904389,0.37638376,0.381784715,0.387227101,0.391133705,0.395783917,0.400461906,0.402825953,0.403874667,0.40586806,0.410989498,0.417119357,0.418924748,0.421794639,0.41417676,0.424670268,0.430942603,0.431585358,0.434856103,0.435489969,0.44013983,0.440805531,0.443892785,0.443454689,0.448726979,0.453315835,0.456503939,0.461338442,0.463409412,0.463657601,0.467922459,0.46734171,0.468157799,0.469189222,0.47000971,0.46961801,0.474216091,0.476999996,0.476423076,0.47657468,0.478157541,0.479230965,0.477151374,0.479659282,0.479366183,0.478925483,0.481890484,0.479572233,0.483861289,0.486198724,0.485931294,0.48609763,0.487516197,0.487024645,0.487218902,0.485871425,0.483087175,0.484477325,0.485330999,0.485721452,0.485122199,0.486165618,0.482951383,0.481281709,0.479723573,0.477492605,0.478973366,0.478847704,0.475929006,0.476705854,0.473768947,0.472902608,0.477810031,0.473993599,0.472863849,0.471543135,0.473837228,0.472453856,0.474539081,0.473818461
693,-0.009664396,0.000959772,0.012701593,0.022805423,0.037637526,0.047344158,0.05884907,0.071627201,0.083773945,0.095042214,0.105963402,0.118564335,0.129567289,0.137048662,0.146490326,0.165102147,0.182544922,0.1907308,0.194147941,0.202913138,0.209933402,0.21905725,0.228007453,0.238061182,0.247711866,0.258537928,0.267140238,0.275392501,0.283113068,0.290813549,0.299124368,0.306762892,0.31486435,0.322283987,0.330033511,0.337438432,0.344194376,0.350787817,0.357463242,0.363196029,0.370124188,0.376696212,0.382249796,0.388600377,0.393939429,0.398527104,0.402183999,0.406598562,0.409638815,0.411140475,0.412530845,0.418240735,0.422793221,0.426153459,0.428556811,0.421885271,0.4312919,0.437461348,0.438565222,0.442685227,0.442328118,0.447960362,0.448130169,0.451036297,0.451899038,0.455990173,0.460034682,0.464187156,0.468746002,0.47199747,0.470857049,0.475550774,0.475024925,0.475465126,0.476539624,0.476969641,0.477154675,0.481707346,0.483225805,0.48496517,0.484495097,0.485343265,0.486323874,0.484989763,0.488250805,0.486510596,0.486193886,0.489007607,0.487006055,0.490659997,0.493485277,0.493369817,0.494308745,0.495683874,0.494292143,0.49426928,0.493606335,0.490744408,0.493033889,0.493446572,0.494171379,0.491961201,0.493738641,0.490139629,0.48836563,0.48748148,0.485551657,0.486105994,0.486692913,0.483549617,0.48414327,0.481131315,0.480127705,0.484479971,0.481098123,0.480272863,0.478593098,0.480975292,0.48020239,0.480969846,0.480877404
692,-0.009865918,0.002227912,0.013294147,0.024460911,0.038499661,0.048203757,0.060402142,0.073149587,0.086143631,0.097340412,0.108479499,0.121493555,0.132639729,0.139990695,0.149823476,0.169244815,0.186401381,0.194228781,0.198667195,0.207184235,0.214200388,0.222701692,0.233522538,0.242355254,0.252633286,0.262704581,0.2724527,0.280346897,0.288500407,0.296466134,0.304494533,0.312187725,0.320262624,0.327934584,0.336097092,0.343009384,0.350734466,0.357175161,0.36442568,0.370452274,0.376283271,0.382876713,0.389405548,0.394908424,0.4002602,0.404587594,0.40856417,0.413605869,0.417077288,0.417363391,0.420111107,0.425160841,0.430240459,0.432908657,0.436389367,0.42789543,0.439104909,0.445465167,0.445457189,0.450255377,0.450531038,0.453480799,0.454872302,0.458808599,0.458119763,0.462424115,0.468188191,0.47168085,0.47680979,0.478629294,0.478950905,0.483348053,0.482064626,0.483049346,0.484295541,0.485162701,0.485538315,0.489356329,0.491717144,0.491596491,0.491781639,0.492232974,0.495227686,0.492651215,0.495466757,0.493609198,0.494064456,0.496812652,0.494400293,0.498542054,0.501345138,0.500948059,0.502353501,0.503662945,0.501954019,0.503056941,0.501141424,0.498103026,0.50084007,0.500728418,0.502043739,0.499693878,0.500916763,0.498586683,0.496450383,0.49494048,0.492963811,0.493025189,0.494822043,0.490453224,0.491755655,0.488810475,0.48781087,0.492794019,0.488083721,0.488026501,0.487029452,0.489327495,0.487350628,0.48964542,0.488947592
691,-0.009286462,0.00257689,0.013831494,0.025385618,0.039791456,0.049645438,0.062193186,0.074849215,0.088122883,0.099534083,0.110857998,0.124499657,0.134869551,0.14265537,0.153097291,0.171963719,0.190151194,0.197983382,0.202268058,0.210585185,0.218200971,0.227095021,0.237707128,0.246956612,0.257983798,0.267832928,0.276696503,0.285032599,0.292969255,0.301136892,0.309845093,0.318131329,0.32574693,0.33420222,0.341945639,0.349179956,0.355819951,0.364000686,0.370829944,0.376073132,0.382633997,0.389121899,0.395624087,0.401036428,0.406496906,0.411242757,0.414713425,0.420284126,0.423989899,0.424131167,0.426121763,0.432345333,0.437956588,0.439990657,0.443012045,0.434699577,0.444845963,0.451689518,0.452750683,0.45718239,0.456117605,0.461052844,0.462524876,0.465139485,0.465276394,0.470278098,0.475041735,0.479058032,0.484547706,0.48542376,0.486280408,0.490149031,0.489655291,0.490859293,0.49118524,0.491538847,0.492315922,0.496525087,0.499042536,0.499392137,0.500392774,0.500623066,0.502363624,0.500830064,0.503453932,0.501762799,0.501798842,0.50401984,0.503215331,0.506545961,0.508444118,0.508799577,0.509485684,0.51195932,0.509646687,0.509902918,0.50905301,0.505823494,0.506824151,0.508498374,0.50950225,0.506995234,0.508713796,0.505374768,0.503959655,0.502923332,0.500558228,0.501769334,0.502240677,0.499011785,0.498646699,0.495908195,0.495045353,0.499430886,0.496483267,0.496073409,0.494189956,0.496293386,0.495619323,0.496029565,0.496227608
