C2_neg_control,0s,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,330s,360s,390s,420s,450s,480s,510s,540s,570s,600s,630s,660s,690s,720s,750s,780s,810s,840s,870s,900s,930s,960s,990s,1020s,1050s,1080s,1110s,1140s,1170s,1200s,1230s,1260s,1290s,1320s,1350s,1380s,1410s,1440s,1470s,1500s,1530s,1560s,1590s,1620s,1650s,1680s,1710s,1740s,1770s,1800s,1830s,1860s,1890s,1920s,1950s,1980s,2010s,2040s,2070s,2100s,2130s,2160s,2190s,2220s,2250s,2280s,2310s,2340s,2370s,2400s,2430s,2460s,2490s,2520s,2550s,2580s,2610s,2640s,2670s,2700s,2730s,2760s,2790s,2820s,2850s,2880s,2910s,2940s,2970s,3000s,3030s,3060s,3090s,3120s,3150s,3180s,3210s,3240s,3270s,3300s,3330s,3360s,3390s,3420s,3450s,3480s,3510s,3540s,3570s,3600s
700,-0.038233166,-0.037965744,-0.037778465,-0.037943922,-0.037661321,-0.037610049,-0.03783489,-0.037680594,-0.038027362,-0.038003172,-0.037958866,-0.038055156,-0.037998096,-0.03784495,-0.038213823,-0.037859802,-0.037965033,-0.038336838,-0.038334705,-0.037990127,-0.037890311,-0.038479955,-0.038071709,-0.038338354,-0.038169349,-0.037829813,-0.038304748,-0.038029639,-0.038228615,-0.038365133,-0.038234304,-0.038100069,-0.038227382,-0.038137864,-0.038142606,-0.038137864,-0.038264645,-0.03819794,-0.038037418,-0.038116145,-0.038045908,-0.038150098,-0.037960384,-0.038001938,-0.037936379,-0.038208513,-0.038388071,-0.038119038,-0.037930401,-0.038267584,-0.038218991,-0.037812112,-0.038021765,-0.038431386,-0.037545998,-0.037926748,-0.038145261,-0.037773767,-0.037686528,-0.038019583,-0.03791114,-0.038217521,-0.037887085,-0.037824593,-0.03813094,-0.037791421,-0.038222689,-0.037964131,-0.037543291,-0.038005828,-0.038092908,-0.038020295,-0.037736035,-0.037856528,-0.037971437,-0.038316788,-0.037817759,-0.038083897,-0.038049133,-0.037862696,-0.037983296,-0.038211452,-0.037739358,-0.038259288,-0.038369067,-0.038301003,-0.038617389,-0.038026414,-0.038015172,-0.038323661,-0.038153038,-0.037844285,-0.038006682,-0.038039505,-0.038107135,-0.038129186,-0.038255732,-0.03805084,-0.038317688,-0.038263649,-0.03801522,-0.037932441,-0.038032817,-0.038322855,-0.037776757,-0.038174375,-0.038214439,-0.038210457,-0.038223068,-0.038189595,-0.038286451,-0.038487062,-0.037773387,-0.038221835,-0.03797471,-0.038236912,-0.037825352,-0.037992119,-0.037944539,-0.038048753,-0.037890169
699,-0.038123543,-0.037653583,-0.037764655,-0.037437863,-0.037516747,-0.037721084,-0.03786635,-0.037821556,-0.038078253,-0.038188362,-0.037950659,-0.037914793,-0.037814959,-0.037891402,-0.037782879,-0.037833229,-0.037984909,-0.03788234,-0.03780077,-0.037763136,-0.037911424,-0.037996863,-0.037965792,-0.038213776,-0.037613183,-0.038201733,-0.038095279,-0.037836361,-0.038090774,-0.037849505,-0.037853871,-0.037994681,-0.03779873,-0.03795768,-0.03812653,-0.038304748,-0.038133122,-0.037824213,-0.037657239,-0.037982964,-0.038207375,-0.038072467,-0.038332287,-0.037941218,-0.037918588,-0.037956162,-0.038046619,-0.037781692,-0.038071045,-0.03800986,-0.037966076,-0.037685721,-0.037736889,-0.037818329,-0.037780886,-0.038030683,-0.037960621,-0.037886373,-0.037997005,-0.038284175,-0.037892683,-0.037798967,-0.037915884,-0.038091248,-0.038097792,-0.037894866,-0.037951181,-0.037908056,-0.038029354,-0.037873088,-0.03788011,-0.038033576,-0.037762282,-0.037916311,-0.037862222,-0.038100258,-0.038290907,-0.037686386,-0.03816053,-0.037924424,-0.037886563,-0.037838781,-0.038130561,-0.038060326,-0.037922384,-0.037818519,-0.038598915,-0.03817025,-0.038224111,-0.037956921,-0.038306597,-0.037832802,-0.038144218,-0.037788526,-0.038411483,-0.03788457,-0.037850122,-0.038134307,-0.037983581,-0.038144076,-0.038261895,-0.037765746,-0.038181582,-0.037908245,-0.038226813,-0.038057955,-0.038571772,-0.038046524,-0.038410061,-0.038000895,-0.037980355,-0.038004784,-0.037883953,-0.037940317,-0.037933343,-0.038221124,-0.037861178,-0.037908862,-0.037966598,-0.037847607,-0.037742348
698,-0.037796736,-0.037740924,-0.037587354,-0.037997574,-0.037367801,-0.037913275,-0.038034382,-0.037668632,-0.037871047,-0.038107182,-0.037681781,-0.037946294,-0.037568837,-0.038030303,-0.038039552,-0.037728109,-0.038188552,-0.038244165,-0.037631128,-0.037556824,-0.03800616,-0.037849647,-0.037942641,-0.038130277,-0.038102962,-0.037987423,-0.037706227,-0.037860751,-0.037558248,-0.037898851,-0.037806085,-0.037925657,-0.037906063,-0.037893775,-0.037912468,-0.037932109,-0.038118326,-0.037926179,-0.037842293,-0.038090205,-0.038085083,-0.038060231,-0.037805421,-0.037945488,-0.038053733,-0.038278108,-0.037805753,-0.037921482,-0.037868533,-0.037732333,-0.037958723,-0.037927697,-0.037656717,-0.038066871,-0.037909052,-0.038094662,-0.037826159,-0.037889647,-0.038258861,-0.037760241,-0.038094947,-0.037698775,-0.037759481,-0.038100211,-0.037874369,-0.03787062,-0.037813773,-0.037604399,-0.037797781,-0.038028026,-0.037729105,-0.037970583,-0.037622868,-0.037652207,-0.037885139,-0.03811624,-0.037753169,-0.037774194,-0.038054635,-0.037851973,-0.038088402,-0.037966646,-0.038243312,-0.037936901,-0.038070902,-0.038113252,-0.037943543,-0.038017402,-0.037948998,-0.038173948,-0.037742727,-0.03819263,-0.038238097,-0.037593527,-0.037767787,-0.037926986,-0.038196612,-0.037892494,-0.037937613,-0.037624957,-0.037901271,-0.037706037,-0.037787909,-0.038033291,-0.03777334,-0.038005211,-0.037893727,-0.038248621,-0.037694693,-0.037999899,-0.037929453,-0.037924756,-0.037961522,-0.037934481,-0.037956684,-0.037902315,-0.037703664,-0.038100211,-0.037564041,-0.037723884,-0.038124064
697,-0.037793462,-0.037804472,-0.037514515,-0.03747771,-0.037559673,-0.037807082,-0.0375667,-0.037751223,-0.037784065,-0.038209746,-0.03769455,-0.037390792,-0.037887464,-0.037509243,-0.037985858,-0.037443847,-0.037698063,-0.037755922,-0.037640101,-0.03792969,-0.037875033,-0.037803428,-0.037885851,-0.037782831,-0.038008532,-0.037868485,-0.03797656,-0.037704091,-0.038010097,-0.037729343,-0.037929785,-0.037731004,-0.037689234,-0.037882103,-0.037962851,-0.037817617,-0.037763468,-0.037740497,-0.037845519,-0.037718141,-0.037766458,-0.037795408,-0.037954264,-0.037456338,-0.037844048,-0.037553975,-0.038222357,-0.037690278,-0.037947907,-0.037788574,-0.037854867,-0.037652159,-0.037824071,-0.03808992,-0.037669202,-0.03770262,-0.038114675,-0.037659802,-0.037625621,-0.037887701,-0.037787957,-0.037533794,-0.037661701,-0.037549844,-0.037869339,-0.037749514,-0.037719945,-0.037724976,-0.038040026,-0.037466455,-0.037578808,-0.038007109,-0.037729675,-0.038173427,-0.0381473,-0.037551458,-0.037992783,-0.038015647,-0.037990222,-0.037401242,-0.037520213,-0.037717809,-0.037935952,-0.038144834,-0.038199931,-0.037741636,-0.037820559,-0.037821318,-0.038132126,-0.03807223,-0.037832138,-0.037702097,-0.037371078,-0.037629704,-0.037650213,-0.038180587,-0.037375829,-0.037752172,-0.037867394,-0.037815149,-0.037653678,-0.037663647,-0.038006255,-0.037718046,-0.037642237,-0.037877548,-0.037895625,-0.038071993,-0.037543291,-0.038185138,-0.037903975,-0.03823511,-0.037400482,-0.037599034,-0.03768273,-0.03752235,-0.037696401,-0.037702145,-0.037892636,-0.038105475,-0.03783005
696,-0.038013227,-0.03761869,-0.037704328,-0.037653868,-0.037715293,-0.037495947,-0.037826396,-0.037641051,-0.038071519,-0.038475785,-0.037815814,-0.038054018,-0.037557441,-0.037604779,-0.037593574,-0.037889789,-0.037555542,-0.037889931,-0.03750421,-0.037661464,-0.037745765,-0.037350842,-0.037777516,-0.03793932,-0.038418875,-0.037809217,-0.038162758,-0.037963515,-0.03766023,-0.037552266,-0.037685531,-0.037654343,-0.037967168,-0.037528761,-0.037936094,-0.037398534,-0.037762424,-0.037732143,-0.037881486,-0.037895245,-0.038208466,-0.037505492,-0.037774431,-0.038122737,-0.03794174,-0.037842387,-0.03775782,-0.037747521,-0.037912705,-0.037614749,-0.038097555,-0.037592387,-0.037760573,-0.037604542,-0.037836076,-0.037499983,-0.037560718,-0.037462133,-0.037489013,-0.037623532,-0.037623627,-0.03811311,-0.03764219,-0.038062555,-0.037648504,-0.037887085,-0.037840015,-0.037744246,-0.037460138,-0.038102724,-0.037847797,-0.037701385,-0.03768368,-0.037681164,-0.037994633,-0.038164086,-0.037455721,-0.038039694,-0.038113727,-0.038035995,-0.037540774,-0.037616269,-0.038285645,-0.03760345,-0.037491245,-0.038022097,-0.0380562,-0.037599557,-0.037532417,-0.037988324,-0.037688664,-0.037790804,-0.037822932,-0.037772106,-0.037937233,-0.037621301,-0.038146162,-0.037660704,-0.038194431,-0.037893727,-0.03797879,-0.037845519,-0.038039789,-0.037872423,-0.037923617,-0.037732001,-0.03787992,-0.038105949,-0.037565228,-0.037766126,-0.037786723,-0.037910997,-0.037600743,-0.03793135,-0.037588162,-0.03784196,-0.037493762,-0.037863598,-0.03771197,-0.037888983,-0.037553548
695,-0.037951987,-0.037672287,-0.037319012,-0.037347564,-0.037661084,-0.037667588,-0.037666496,-0.037718663,-0.037685056,-0.037929121,-0.037944302,-0.037784492,-0.03763336,-0.037987233,-0.037286372,-0.037600981,-0.037958913,-0.037759671,-0.038095184,-0.037641525,-0.037530328,-0.038201449,-0.037540395,-0.03759234,-0.037996626,-0.03784272,-0.037710974,-0.037549179,-0.037755684,-0.037526196,-0.037533889,-0.037827203,-0.037541914,-0.037744958,-0.03778435,-0.037541962,-0.037968401,-0.03782744,-0.037721986,-0.037752505,-0.037762566,-0.038254263,-0.037625716,-0.038190638,-0.037827155,-0.03777856,-0.038004263,-0.037624577,-0.037806038,-0.037805563,-0.037902267,-0.038105428,-0.037338918,-0.037788479,-0.037570594,-0.037841438,-0.037997385,-0.03800246,-0.037975042,-0.037577716,-0.038279008,-0.037725023,-0.03757349,-0.037879256,-0.03770618,-0.037583746,-0.037300483,-0.037853016,-0.03766284,-0.037621728,-0.037644279,-0.037813726,-0.037680215,-0.03809599,-0.037758864,-0.03776997,-0.037758912,-0.037789001,-0.03760288,-0.037973761,-0.03766792,-0.037967357,-0.037970298,-0.037723457,-0.038302662,-0.037840442,-0.037855769,-0.0377189,-0.037965697,-0.037913986,-0.038102677,-0.037850217,-0.037879825,-0.037609812,-0.037737222,-0.037825826,-0.037555637,-0.037483219,-0.037843858,-0.037586262,-0.037879825,-0.037986,-0.038010239,-0.038017544,-0.038107372,-0.03777856,-0.037896099,-0.037587829,-0.037800818,-0.03763279,-0.037902505,-0.038043821,-0.038054824,-0.037923949,-0.03834371,-0.037733377,-0.037710452,-0.0379786,-0.037708078,-0.037808173,-0.037523917
694,-0.037796974,-0.03759291,-0.037601076,-0.037439953,-0.037566985,-0.038015267,-0.037757108,-0.037720562,-0.037966883,-0.037795882,-0.037859992,-0.037918446,-0.037995155,-0.037755542,-0.038040263,-0.037409174,-0.037930164,-0.037738313,-0.037843099,-0.037651732,-0.037756349,-0.037349797,-0.037533509,-0.037701955,-0.037939036,-0.037890311,-0.037817427,-0.037880395,-0.037712303,-0.037779509,-0.037796594,-0.037807034,-0.037649691,-0.038161525,-0.037749087,-0.038206048,-0.037962708,-0.037681211,-0.038062081,-0.037622298,-0.037416204,-0.037728631,-0.037654485,-0.037649074,-0.037832043,-0.038004025,-0.037666021,-0.037540157,-0.037931018,-0.037800153,-0.037856291,-0.03749305,-0.037693981,-0.037786865,-0.037876456,-0.037935288,-0.038058334,-0.038052927,-0.037571211,-0.038257392,-0.038127147,-0.037905304,-0.03782222,-0.03774211,-0.037946579,-0.038273794,-0.038132458,-0.037944444,-0.038255116,-0.037554782,-0.037655815,-0.037676844,-0.037870241,-0.037762092,-0.037885139,-0.037711164,-0.037740259,-0.037929927,-0.037692177,-0.037833893,-0.037850407,-0.037774906,-0.037737269,-0.037902552,-0.03777258,-0.038087738,-0.038109079,-0.037907344,-0.038065828,-0.037993068,-0.037986854,-0.037950659,-0.037843621,-0.03778136,-0.037681734,-0.038072467,-0.038173806,-0.037965982,-0.038046524,-0.03788234,-0.038073795,-0.037811827,-0.03806246,-0.037940222,-0.038028928,-0.037647412,-0.03778155,-0.03821681,-0.037850407,-0.037744436,-0.037832944,-0.037767834,-0.037704993,-0.03819097,-0.037929642,-0.037442565,-0.038029165,-0.03782948,-0.037907391,-0.037916169,-0.037257151
693,-0.037722081,-0.038147442,-0.037598037,-0.037637205,-0.037496801,-0.037445415,-0.037621633,-0.037697968,-0.037791706,-0.038292471,-0.038130514,-0.038557323,-0.038139286,-0.03805084,-0.03789795,-0.037671053,-0.037517126,-0.038092576,-0.037868817,-0.038011899,-0.037762424,-0.038011046,-0.03771273,-0.037855484,-0.037819278,-0.037493002,-0.038332619,-0.038073179,-0.038082854,-0.038024516,-0.037660372,-0.037915789,-0.038065922,-0.037907818,-0.037831094,-0.03771928,-0.037686528,-0.038019821,-0.037963325,-0.037816051,-0.037423566,-0.037703521,-0.03767993,-0.037891972,-0.03724071,-0.037758437,-0.037783638,-0.037829433,-0.037468544,-0.037804614,-0.037976702,-0.03756727,-0.038011188,-0.03787584,-0.037783876,-0.037583414,-0.038051552,-0.037628802,-0.037627283,-0.037430738,-0.037979833,-0.037833182,-0.037822315,-0.037819895,-0.037851783,-0.037184351,-0.037876456,-0.037543101,-0.037510431,-0.037563139,-0.037678031,-0.037698585,-0.038332145,-0.037726163,-0.037979881,-0.038009148,-0.037444322,-0.037809882,-0.037840205,-0.037725783,-0.037747331,-0.037707509,-0.037970915,-0.037895245,-0.037780791,-0.037741588,-0.038302283,-0.03772564,-0.037997669,-0.037858758,-0.03779612,-0.03770599,-0.038121219,-0.038190164,-0.037905589,-0.03768273,-0.037673711,-0.037884285,-0.037746952,-0.037975327,-0.038325841,-0.037946579,-0.038127953,-0.038071187,-0.03828702,-0.037835127,-0.037880679,-0.038068863,-0.038065638,-0.037600886,-0.037804235,-0.037907012,-0.037957063,-0.038175323,-0.037667255,-0.037635971,-0.038091343,-0.038189263,-0.037799252,-0.037961238,-0.037785252
692,-0.038164655,-0.037740402,-0.037482364,-0.037555589,-0.037393974,-0.038164987,-0.037896052,-0.038063314,-0.03774605,-0.038343094,-0.037633217,-0.038079913,-0.038052975,-0.037733994,-0.037925942,-0.037662793,-0.037676417,-0.038186466,-0.037972006,-0.037824498,-0.03806744,-0.037814959,-0.037626286,-0.037898092,-0.037904877,-0.038133406,-0.037846278,-0.037828199,-0.038132885,-0.038118421,-0.038116382,-0.03798823,-0.037727919,-0.037896526,-0.038321575,-0.038157258,-0.038270049,-0.037989985,-0.037721369,-0.037932726,-0.03798268,-0.037905494,-0.037692034,-0.037451114,-0.038133596,-0.037889457,-0.037888223,-0.037873515,-0.037947955,-0.038036137,-0.037981921,-0.037677746,-0.037827345,-0.037749514,-0.037705895,-0.03782986,-0.037672857,-0.037398534,-0.037949663,-0.037720657,-0.037545523,-0.037920676,-0.037647032,-0.037742822,-0.037789191,-0.038090631,-0.037804662,-0.037594571,-0.037791231,-0.037329511,-0.037689139,-0.037490153,-0.037861985,-0.037829291,-0.037658805,-0.037628802,-0.037848366,-0.038227003,-0.037822552,-0.038013607,-0.037944207,-0.038267726,-0.037753216,-0.038060231,-0.037985953,-0.038359209,-0.038117947,-0.0379749,-0.037831663,-0.038165651,-0.038703162,-0.038097081,-0.03760326,-0.037890169,-0.038197513,-0.038077684,-0.037761712,-0.038081099,-0.038265498,-0.037944776,-0.037595568,-0.03798268,-0.038361815,-0.038001464,-0.037667255,-0.037961143,-0.038120887,-0.037866729,-0.037786628,-0.037801909,-0.037917971,-0.038034287,-0.038106613,-0.038191444,-0.038171198,-0.037979833,-0.037553215,-0.03813682,-0.037793272,-0.038065543,-0.038136394
691,-0.037783211,-0.038044058,-0.038266588,-0.037320485,-0.037714439,-0.037804424,-0.037936474,-0.037907961,-0.037765177,-0.038053686,-0.03782967,-0.03793543,-0.038078775,-0.037866445,-0.037741446,-0.038114912,-0.037735988,-0.038105143,-0.037886942,-0.038139334,-0.037846278,-0.03782502,-0.037593194,-0.038063836,-0.037658188,-0.037974426,-0.03815043,-0.037717429,-0.03816309,-0.037816003,-0.037748992,-0.038116619,-0.038010714,-0.037860039,-0.037912563,-0.037987091,-0.038116856,-0.037850644,-0.037703664,-0.038347692,-0.03773276,-0.038116809,-0.03760891,-0.037765366,-0.037899468,-0.037990791,-0.037967927,-0.038137105,-0.037693838,-0.037838354,-0.037746382,-0.03785947,-0.038079961,-0.037495852,-0.03798249,-0.037838259,-0.03809599,-0.037632648,-0.037579045,-0.037588541,-0.038049085,-0.037867726,-0.037932584,-0.038004357,-0.037606488,-0.038024374,-0.037706654,-0.037770492,-0.037754783,-0.037843242,-0.037772106,-0.037661749,-0.037874796,-0.037954691,-0.037823311,-0.038288726,-0.037926179,-0.037927033,-0.037895625,-0.038031062,-0.037757488,-0.037988135,-0.037987423,-0.037894771,-0.038133264,-0.037886515,-0.038108178,-0.037938229,-0.037581847,-0.037701196,-0.038047615,-0.037628232,-0.037827298,-0.038082759,-0.038072135,-0.037925894,-0.037966171,-0.037717714,-0.038248574,-0.038421719,-0.03783285,-0.037808411,-0.037915742,-0.038190306,-0.037999092,-0.03792357,-0.03819666,-0.037623295,-0.038028074,-0.037840964,-0.037927033,-0.038419302,-0.037699107,-0.038196707,-0.037620257,-0.037637917,-0.037762424,-0.038041354,-0.037926748,-0.038078206,-0.037741351
