C2_neg_control,0s,30s,60s,90s,120s,150s,180s,210s,240s,270s,300s,330s,360s,390s,420s,450s,480s,510s,540s,570s,600s,630s,660s,690s,720s,750s,780s,810s,840s,870s,900s,930s,960s,990s,1020s,1050s,1080s,1110s,1140s,1170s,1200s,1230s,1260s,1290s,1320s,1350s,1380s,1410s,1440s,1470s,1500s,1530s,1560s,1590s,1620s,1650s,1680s,1710s,1740s,1770s,1800s,1830s,1860s,1890s,1920s,1950s,1980s,2010s,2040s,2070s,2100s,2130s,2160s,2190s,2220s,2250s,2280s,2310s,2340s,2370s,2400s,2430s,2460s,2490s,2520s,2550s,2580s,2610s,2640s,2670s,2700s,2730s,2760s,2790s,2820s,2850s,2880s,2910s,2940s,2970s,3000s,3030s,3060s,3090s,3120s,3150s,3180s,3210s,3240s,3270s,3300s,3330s,3360s,3390s,3420s,3450s,3480s,3510s,3540s,3570s,3600s
700,-0.048467654,-0.044273779,-0.036725314,-0.026232011,-0.019256158,-0.010177811,-0.00119372,0.008625361,0.016179034,0.024859229,0.038053403,0.048626581,0.059003742,0.069182186,0.079963696,0.088730002,0.096120426,0.104766001,0.113074149,0.121245748,0.129791025,0.137993064,0.145809336,0.154447574,0.162935226,0.170662013,0.178072619,0.185231299,0.192469676,0.199479303,0.207522057,0.214920217,0.222350044,0.22987197,0.237068778,0.243686355,0.250350996,0.256987805,0.263105477,0.269104294,0.274413909,0.279258795,0.28384019,0.288213593,0.291990196,0.296161163,0.299908408,0.303527939,0.306390036,0.310375416,0.313185866,0.316219784,0.319218788,0.32165423,0.324750725,0.327764639,0.330108569,0.332309014,0.334199677,0.335160803,0.338576491,0.3420357,0.344517203,0.347036304,0.348419911,0.350184331,0.352200017,0.353859519,0.354903974,0.356646469,0.357526064,0.358522113,0.35870412,0.359743533,0.360891942,0.361609297,0.362932449,0.364430174,0.365452531,0.366383741,0.367658677,0.368804998,0.369615305,0.369958327,0.3699424,0.370434506,0.369485245,0.369380704,0.369497034,0.369580899,0.369499367,0.370158971,0.370419685,0.371011678,0.37047958,0.369522916,0.369408185,0.369479396,0.369757048,0.370122094,0.369985905,0.370002532,0.3701658,0.369569835,0.371241077,0.370738147,0.370031145,0.369772696,0.369364131,0.369959207,0.370437209,0.370120516,0.369270191,0.369103141,0.37032582,0.370703318,0.371353645,0.371369898,0.372047318,0.373358644,0.373205725
699,-0.047957121,-0.043671308,-0.035798156,-0.025214499,-0.018220016,-0.009291327,-0.000480178,0.009630503,0.01750077,0.025945538,0.039621214,0.050123762,0.061379739,0.071454083,0.082229158,0.090865887,0.098588131,0.107600398,0.116035356,0.124445975,0.132564588,0.141181767,0.149170854,0.157457762,0.166271094,0.173733673,0.181499602,0.189260779,0.196580631,0.203927103,0.211088639,0.21873591,0.226599065,0.234248064,0.241367395,0.248328874,0.255600076,0.261758013,0.26796326,0.273827247,0.279130838,0.28403152,0.288578932,0.29322053,0.297237329,0.301680376,0.304793221,0.308383144,0.311635131,0.314920954,0.318303391,0.321442633,0.324443897,0.327458398,0.32994715,0.33238288,0.335040102,0.337498817,0.338823546,0.341080942,0.343705346,0.347571082,0.349655592,0.352325322,0.35419093,0.355345088,0.357096367,0.359056971,0.360387494,0.362060853,0.363416194,0.364263538,0.364751526,0.365979283,0.366375015,0.367654995,0.368726576,0.369833715,0.370530309,0.371580544,0.373429527,0.374382984,0.374838208,0.375156396,0.376153261,0.37604418,0.375534063,0.374992255,0.374954659,0.375526411,0.374959139,0.375605179,0.376107779,0.375950567,0.375441666,0.375228126,0.375208197,0.374396102,0.37601043,0.375133461,0.375085722,0.375606992,0.375006005,0.375540147,0.376008923,0.376245132,0.375657709,0.374753168,0.374667531,0.37548966,0.376674151,0.376374061,0.374530093,0.37425636,0.375375646,0.376483348,0.377027545,0.376623716,0.378203782,0.378358688,0.37851501
698,-0.047887205,-0.043562674,-0.035327486,-0.025127827,-0.017305588,-0.008471679,0.000751161,0.01077857,0.018759343,0.027661781,0.04140036,0.052109172,0.063249113,0.073797474,0.084498481,0.093269561,0.101054715,0.110144371,0.118864354,0.126611669,0.135664573,0.144066212,0.152391053,0.160812649,0.169477035,0.177597623,0.185649938,0.192952832,0.200752078,0.207615238,0.215331429,0.223050424,0.23092747,0.238473438,0.24591118,0.252799163,0.259850183,0.266641748,0.272303326,0.278703421,0.283899511,0.288945384,0.293592042,0.29828458,0.301897213,0.305886228,0.310082883,0.313565698,0.3174268,0.320406435,0.323435927,0.326208213,0.32959151,0.332063274,0.335094443,0.338257739,0.340298373,0.342719617,0.344652731,0.346803173,0.3496344,0.353162692,0.355718766,0.357554398,0.359365341,0.361539038,0.363286484,0.365088447,0.366657795,0.367223605,0.368396043,0.369957022,0.370936354,0.372088749,0.372495553,0.373600177,0.374674094,0.375902831,0.376417138,0.378059843,0.379351592,0.38022579,0.380760516,0.381510547,0.381768909,0.381897305,0.381715323,0.381458301,0.380962543,0.381240132,0.381242592,0.381856581,0.381984099,0.382554069,0.382218588,0.38097082,0.38120853,0.380835511,0.382130812,0.381271893,0.38169235,0.380847519,0.381016503,0.381354793,0.382380521,0.383092922,0.38180314,0.38109481,0.380970789,0.381548403,0.382178801,0.382466599,0.380865438,0.380406031,0.38163681,0.382637652,0.382572027,0.38222433,0.383844583,0.384508598,0.38428422
697,-0.047793998,-0.043746867,-0.035371536,-0.024536396,-0.016974827,-0.007704805,0.001644695,0.011756211,0.019675579,0.029178975,0.042855508,0.053890506,0.065076738,0.075759836,0.086568769,0.095890972,0.103986292,0.113122614,0.12206416,0.12997074,0.138553298,0.147385827,0.155959994,0.164442165,0.173271498,0.181207311,0.188985898,0.197135506,0.204258919,0.212012557,0.21921743,0.227181972,0.235576017,0.243175583,0.250786527,0.257892051,0.264723819,0.271887463,0.277918862,0.283851486,0.289209557,0.293959134,0.298730174,0.303571603,0.307368517,0.312322111,0.315211471,0.319805664,0.322189994,0.326103494,0.329516956,0.332423783,0.335664606,0.338325008,0.341106747,0.344474344,0.346803979,0.348620232,0.350505434,0.35272717,0.355793405,0.358913945,0.361801892,0.364016607,0.366091488,0.36798871,0.369056696,0.370621211,0.372552774,0.374457007,0.375768784,0.37621743,0.377369777,0.377364068,0.378962756,0.379585098,0.380359728,0.381900923,0.382904312,0.384912607,0.385915055,0.386912251,0.387295012,0.388145373,0.388317665,0.388715319,0.387780544,0.38774982,0.386738025,0.387276762,0.38769625,0.388183465,0.388605064,0.38907935,0.388528558,0.387607928,0.387686358,0.387405187,0.388430854,0.387800015,0.387296148,0.386971215,0.387661014,0.387775138,0.389126275,0.388992205,0.388108614,0.387265807,0.387101096,0.387770018,0.388802378,0.388363241,0.386678557,0.386957301,0.387568023,0.388996674,0.388740725,0.389371474,0.390273345,0.390486272,0.391374431
696,-0.04788855,-0.043343169,-0.035118103,-0.024345143,-0.016468493,-0.007124596,0.002849119,0.0129404,0.021350887,0.030308548,0.044634239,0.05541371,0.06691254,0.077887169,0.089067135,0.098082215,0.106281024,0.115566538,0.125144631,0.133065493,0.141579769,0.150913303,0.158742142,0.167880841,0.176692929,0.185414344,0.192819523,0.200712708,0.208657747,0.216396143,0.22354442,0.23146302,0.239282059,0.247763337,0.254971773,0.262566767,0.269812316,0.275848033,0.282542774,0.288538838,0.294013027,0.299913624,0.304475433,0.308614602,0.312533908,0.316978398,0.321308677,0.324537532,0.328370712,0.331936203,0.334888313,0.338483138,0.340990455,0.344359235,0.34716505,0.349927573,0.352583531,0.355184834,0.356179225,0.358870884,0.361463137,0.364765496,0.367927376,0.369445092,0.372451856,0.373592559,0.374839619,0.377119878,0.378418946,0.38024185,0.381639646,0.383052273,0.382859992,0.383940446,0.384793833,0.385074574,0.387407398,0.38743238,0.388719564,0.39098927,0.391516444,0.393102297,0.39332337,0.394511578,0.394621159,0.394818688,0.39408145,0.394017793,0.393970241,0.393860407,0.393829796,0.393898201,0.394768542,0.395231475,0.394458322,0.393894034,0.393682346,0.393681289,0.393813417,0.394500984,0.393443572,0.393912307,0.393407355,0.394122535,0.394642578,0.395862646,0.394258648,0.394010065,0.393244204,0.394055569,0.393954114,0.394524387,0.393406266,0.392136712,0.394019493,0.394866172,0.395548619,0.395478569,0.396424373,0.397502168,0.397169026
695,-0.047621581,-0.043449469,-0.034506995,-0.023544373,-0.015713076,-0.006304774,0.003970233,0.013892135,0.022423076,0.031770108,0.04606387,0.057628069,0.068945746,0.080120503,0.091638643,0.101043412,0.109104259,0.118585321,0.127100443,0.136192693,0.144745593,0.154329451,0.162348492,0.171667357,0.180326127,0.189554177,0.197474246,0.205232806,0.212101982,0.220078337,0.227970959,0.235831286,0.244863573,0.252361332,0.259904197,0.267738693,0.274262204,0.281445947,0.287571914,0.294296001,0.300119712,0.304476972,0.309969455,0.314100293,0.31849999,0.322291409,0.327093987,0.330535083,0.334224265,0.337898669,0.340624582,0.34378946,0.347203253,0.350555798,0.353718194,0.355974418,0.358283297,0.360665955,0.362811896,0.364162222,0.367455354,0.371205599,0.374497504,0.376055717,0.378368246,0.379983277,0.382313437,0.383354168,0.385008863,0.386858058,0.38790409,0.389327949,0.390020869,0.389258451,0.391308238,0.392371095,0.393222246,0.394583591,0.395426514,0.397037423,0.397866978,0.399052873,0.400419012,0.401043662,0.401008174,0.401212216,0.401605576,0.400217164,0.399524327,0.400144081,0.399718023,0.40060041,0.400897556,0.401489651,0.400863447,0.400446121,0.400255483,0.399732709,0.400564079,0.400203535,0.399981143,0.400298849,0.400663639,0.400638861,0.401109564,0.401883198,0.400862502,0.400663542,0.399783301,0.400532373,0.401818387,0.400987417,0.399223381,0.399718998,0.400495462,0.40083299,0.40105106,0.401830891,0.402940992,0.404005536,0.403721144
694,-0.047664448,-0.043402577,-0.035139304,-0.023091056,-0.015124325,-0.005689579,0.004566236,0.015038085,0.023837538,0.033331096,0.048144726,0.058857311,0.070839816,0.082309404,0.094235502,0.103311966,0.111579159,0.12137304,0.130402597,0.139192287,0.148483611,0.157818474,0.16650811,0.175195145,0.184135592,0.192538994,0.201054374,0.208672396,0.217091885,0.224611032,0.232143405,0.240250192,0.249046972,0.256595084,0.265073728,0.272259861,0.279615641,0.286307507,0.293249261,0.299218293,0.305413127,0.310490485,0.316010282,0.319908092,0.324223591,0.32861586,0.332269902,0.336739448,0.340101004,0.344072939,0.346538057,0.350259765,0.352944541,0.356336936,0.358928822,0.36223818,0.36489388,0.366406821,0.36838244,0.370584477,0.37349146,0.377281741,0.379623965,0.382418484,0.384270205,0.386724781,0.387826917,0.389424395,0.391491481,0.393079962,0.394097422,0.39543475,0.39592651,0.397215832,0.397444601,0.398988678,0.399752789,0.401002993,0.4023359,0.40360885,0.40470287,0.405961098,0.406395241,0.407515829,0.408265115,0.407948219,0.407332379,0.40667274,0.406254282,0.406609687,0.406531856,0.40752562,0.407192669,0.407730332,0.408169263,0.407055978,0.406254777,0.406132197,0.407227179,0.407183315,0.407266552,0.406666434,0.406851287,0.407029478,0.407834296,0.409019015,0.407274685,0.40664963,0.406266157,0.406685616,0.40796004,0.407602603,0.406142188,0.406179451,0.407125409,0.40819093,0.408154852,0.408653675,0.409418218,0.41054571,0.410833174
693,-0.047741357,-0.04359419,-0.034408193,-0.022980833,-0.01451665,-0.004553564,0.005367824,0.016090323,0.025226828,0.034614931,0.049331749,0.060759927,0.072765781,0.084536627,0.09664909,0.106223498,0.114556205,0.123773706,0.133508149,0.142481004,0.151654504,0.160750276,0.1695375,0.178880609,0.188133913,0.197343457,0.205107962,0.212812466,0.221391094,0.22927614,0.237142241,0.245413774,0.253481029,0.262242119,0.270008505,0.277921267,0.284958654,0.291524108,0.298327642,0.305214417,0.311177774,0.316308258,0.32104585,0.325592438,0.330085873,0.33479477,0.33865815,0.342544442,0.34644154,0.349351753,0.352107882,0.356439765,0.359256459,0.362096635,0.365534748,0.368574342,0.371071777,0.373508496,0.375087134,0.377787738,0.380137608,0.384282276,0.38701198,0.389026598,0.391186555,0.39294569,0.394307996,0.396040089,0.398470892,0.399785478,0.400969006,0.402343386,0.403018738,0.403856921,0.40421759,0.406017134,0.407245493,0.407631752,0.409177311,0.410859308,0.411688628,0.413268092,0.413490318,0.413857906,0.41519267,0.415214017,0.414296189,0.413751919,0.413278282,0.413039044,0.414145388,0.414674514,0.414607531,0.414609818,0.414254293,0.413451954,0.413950053,0.413693701,0.414025027,0.414040137,0.412906395,0.413140165,0.412981223,0.414129233,0.414762563,0.415090969,0.415186273,0.41395163,0.413063065,0.413323101,0.414474504,0.414850764,0.412706595,0.41255698,0.413440988,0.415102347,0.415343869,0.415569891,0.416427137,0.417565753,0.417032621
692,-0.048022251,-0.043021863,-0.033893253,-0.022328984,-0.014044132,-0.004171051,0.006657935,0.017620177,0.026643392,0.036320111,0.051737211,0.063121569,0.075406327,0.087052838,0.098728967,0.108948143,0.117522582,0.12695454,0.136936136,0.145587438,0.154826831,0.164511158,0.174302551,0.182876253,0.192587592,0.201426314,0.209482984,0.218034494,0.225521083,0.23363162,0.241857746,0.250359012,0.259451433,0.26697942,0.275049396,0.282950547,0.29023508,0.296913404,0.304689624,0.310647583,0.31687682,0.322331753,0.327074746,0.331865136,0.336447345,0.340615224,0.345126412,0.348631063,0.352049624,0.355815458,0.35931812,0.362977617,0.365872998,0.368632471,0.371787484,0.37468489,0.378198402,0.380377192,0.381600722,0.383483816,0.387683798,0.390714641,0.393713492,0.395505436,0.398013589,0.399678452,0.401411102,0.40316723,0.404322128,0.406985006,0.408117055,0.409344633,0.409631968,0.410612003,0.411276022,0.412189422,0.413988763,0.414863044,0.416439293,0.416913924,0.418241888,0.419366682,0.42060869,0.421375739,0.421545403,0.421460511,0.421357058,0.420798109,0.419965013,0.420769153,0.42077802,0.421393396,0.421882433,0.422022059,0.421529653,0.419992621,0.42034504,0.420548932,0.420898938,0.420884508,0.420540854,0.420228432,0.420584043,0.421036269,0.421888314,0.421762506,0.421406579,0.420377204,0.420236267,0.420491432,0.4215165,0.421279545,0.420207621,0.419740912,0.420196416,0.421701359,0.421739297,0.422077607,0.423301298,0.42431587,0.424101988
691,-0.047657351,-0.042918648,-0.034378299,-0.021597839,-0.013525836,-0.003000871,0.007927372,0.018912163,0.028201911,0.0376574,0.053378424,0.065273805,0.077763118,0.089380932,0.101995683,0.111787789,0.12052921,0.130207995,0.140164851,0.148780459,0.158578837,0.168089423,0.177529909,0.186682787,0.196863907,0.205297422,0.214236463,0.222106676,0.230003877,0.238264909,0.24664301,0.255796805,0.263727232,0.272468019,0.28096938,0.287973235,0.295611832,0.303058361,0.309533223,0.31607001,0.322766559,0.32790911,0.333171623,0.337947027,0.341859977,0.346577786,0.350547761,0.354266711,0.359349649,0.362021649,0.365275268,0.368979621,0.371811857,0.375043207,0.378025566,0.38107738,0.383589993,0.386602231,0.38874383,0.390633912,0.393726053,0.397494765,0.400047208,0.403170309,0.404608886,0.40650684,0.408607312,0.410505207,0.412335866,0.413133463,0.414792971,0.416469075,0.416692102,0.416674466,0.417989599,0.419055206,0.420428828,0.421980745,0.423238596,0.424206853,0.425910372,0.42663389,0.42797774,0.428468351,0.428570561,0.429262427,0.428237982,0.427565792,0.427972885,0.427232493,0.427824609,0.4281055,0.428537055,0.428854367,0.427881251,0.427430987,0.427374542,0.428379041,0.427459524,0.427933497,0.427472235,0.427690209,0.427019765,0.427542548,0.428338055,0.429248203,0.428351902,0.428182195,0.426755481,0.427375685,0.428536083,0.427929267,0.427304256,0.426619855,0.428104008,0.428882164,0.428924557,0.428802566,0.430158032,0.430669187,0.431355846
